movie	production_budget	domestic_gross	worldwide_gross	mpaa_rating	genre
26	The Curious Case of Benjamin Button	160000000.0	127509326.0	329631958.0	PG-13	Drama
27	The Sorcerer's Apprentice	160000000.0	63150991.0	217986320.0	PG	Adventure
28	Poseidon	160000000.0	60674817.0	181674817.0	PG-13	Adventure
29	Warcraft	160000000.0	47225655.0	425547111.0	PG-13	Action
30	Aquaman	160000000.0	0.0	0.0	PG-13	Action
31	Deepwater Horizon	156000000.0	61433527.0	122631306.0	PG-13	Drama
32	Terminator: Genisys	155000000.0	89760956.0	432150894.0	PG-13	Action
33	Pacific Rim: Uprising	155000000.0	59185715.0	290241338.0	PG-13	Action
34	Alexander	155000000.0	34297191.0	167297191.0	R	Action
35	War for the Planet of the Apes	152000000.0	146880162.0	489592267.0	PG-13	Action
36	Pearl Harbor	151500000.0	198539855.0	449239855.0	PG-13	Action
37	Transformers	151000000.0	319246193.0	708272592.0	PG-13	Action
38	Wonder Woman	150000000.0	412563408.0	821133378.0	PG-13	Action
39	Zootopia	150000000.0	341268248.0	1019706594.0	PG	Adventure
40	Harry Potter and the Goblet of Fire	150000000.0	290013036.0	896911078.0	PG-13	Adventure
41	The Matrix Reloaded	150000000.0	281553689.0	738576929.0	R	Action
42	I am Legend	150000000.0	256393010.0	585532684.0	PG-13	Horror
43	Hancock	150000000.0	227946274.0	624234272.0	PG-13	Action
44	Charlie and the Chocolate Factory	150000000.0	206459076.0	475825484.0	PG	Adventure
45	Ratatouille	150000000.0	206445654.0	626549695.0	G	Adventure
46	Thor: The Dark World	150000000.0	206362140.0	644602516.0	PG-13	Action
47	Batman Begins	150000000.0	205343774.0	359142722.0	PG-13	Action
48	Mission: Impossible—Rogue Nation	150000000.0	195042377.0	689388363.0	PG-13	Action
49	Dunkirk	150000000.0	190068280.0	499900860.0	PG-13	Action
50	Thor	150000000.0	181030624.0	449326618.0	PG-13	Action
51	Madagascar: Escape 2 Africa	150000000.0	180174880.0	599680774.0	PG	Adventure
52	X-Men Origins: Wolverine	150000000.0	179883157.0	374825760.0	PG-13	Action
53	Kung Fu Panda 2	150000000.0	165249063.0	664837547.0	PG	Adventure
54	Mad Max: Fury Road	150000000.0	153636354.0	370651733.0	R	Action
55	The Meg	150000000.0	142700791.0	527100791.0	PG-13	Action
56	The Matrix Revolutions	150000000.0	139270910.0	427300260.0	R	Action
57	Ready Player One	150000000.0	137018455.0	578621729.0	PG-13	Adventure
58	Mission: Impossible III	150000000.0	133501348.0	397501348.0	PG-13	Action
59	Troy	150000000.0	133298577.0	484161265.0	R	Action
60	The Last Airbender	150000000.0	131772187.0	319713881.0	PG	Adventure
61	Bee Movie	150000000.0	126631277.0	287594577.0	PG	Adventure
62	G-Force	150000000.0	119436770.0	292817841.0	PG	Adventure
63	Bolt	150000000.0	114053579.0	328015029.0	PG	Adventure
64	Wrath of the Titans	150000000.0	83670083.0	305270083.0	PG-13	Adventure
65	Beowulf	150000000.0	82280579.0	195080579.0	PG-13	Adventure
66	The Wolfman	150000000.0	62189884.0	142634358.0	R	Horror
67	The Great Wall	150000000.0	45157105.0	334550106.0	PG-13	Action
68	Pan	150000000.0	35088320.0	151543635.0	PG	Adventure
69	Mars Needs Moms	150000000.0	21392758.0	39549758.0	PG	Adventure
70	Flushed Away	149000000.0	64665672.0	179357126.0	PG	Adventure
71	Madagascar 3: Europe's Most Wanted	145000000.0	216391482.0	746921271.0	PG	Adventure
72	How to Train Your Dragon 2	145000000.0	177002924.0	614586270.0	PG	Adventure
73	Tarzan	145000000.0	171091819.0	448191819.0	G	Adventure
74	Mr. Peabody & Sherman	145000000.0	111506430.0	269806430.0	PG	Adventure
75	Rise of the Guardians	145000000.0	103412758.0	306900902.0	PG	Adventure
76	Die Another Day	142000000.0	160942139.0	431942139.0	PG-13	Action
77	Star Trek	140000000.0	257730019.0	385680446.0	PG-13	Adventure
78	Armageddon	140000000.0	201578182.0	554600000.0	PG-13	Adventure
79	Men in Black 2	140000000.0	190418803.0	441767803.0	PG-13	Action
80	Captain America: The First Avenger	140000000.0	176654505.0	370569776.0	PG-13	Action
81	Kung Fu Panda 3	140000000.0	143528619.0	518418751.0	PG	Adventure
82	Lethal Weapon 4	140000000.0	130444603.0	285400000.0	R	Action
83	G.I. Joe: Retaliation	140000000.0	122523060.0	375740705.0	PG-13	Action
84	The Last Samurai	140000000.0	111110575.0	456810575.0	R	Action
85	Fun With Dick And Jane	140000000.0	110550000.0	203018919.0	PG-13	Comedy
86	Exodus: Gods and Kings	140000000.0	65014513.0	268314513.0	PG-13	Drama
87	The BFG	140000000.0	55483770.0	199676255.0	PG	Adventure
88	Gods of Egypt	140000000.0	31153464.0	138587563.0	PG-13	Adventure
89	Spider-Man	139000000.0	403706375.0	821706375.0	PG-13	Adventure
90	Watchmen	138000000.0	107509799.0	186976250.0	R	Action
91	Stealth	138000000.0	32116746.0	76416746.0	PG-13	Action
92	The Incredible Hulk	137500000.0	134806913.0	265573859.0	PG-13	Adventure
93	Hulk	137000000.0	132177234.0	245075434.0	PG-13	Action
94	Final Fantasy: The Spirits Within	137000000.0	32131830.0	85131830.0	PG-13	Adventure
95	The Croods	135000000.0	187168425.0	573068425.0	PG	Adventure
96	The Revenant	135000000.0	183637894.0	532950503.0	R	Adventure
97	The World is Not Enough	135000000.0	126930660.0	361730660.0	PG-13	Action
98	Rango	135000000.0	123477607.0	245724600.0	PG	Adventure
99	Turbo	135000000.0	83028130.0	286896578.0	PG	Adventure
100	Happy Feet Two	135000000.0	64006466.0	157956466.0	PG	Adventure
101	Miami Vice	135000000.0	63478838.0	163818556.0	R	Action
102	War of the Worlds	132000000.0	234280354.0	606836535.0	PG-13	Action
103	Penguins of Madagascar	132000000.0	83350911.0	367650911.0	PG	Adventure
104	The Hunger Games: Catching Fire	130000000.0	424668047.0	864868047.0	PG-13	Adventure
105	Ant-Man and the Wasp	130000000.0	216565229.0	617176819.0	PG-13	Action
106	Kung Fu Panda	130000000.0	215434591.0	631910531.0	PG	Adventure
107	Ant-Man	130000000.0	180202163.0	518860086.0	PG-13	Action
108	Home	130000000.0	177397510.0	386031994.0	PG	Adventure
109	Puss in Boots	130000000.0	149260504.0	554987477.0	PG	Adventure
110	Megamind	130000000.0	148415853.0	321887208.0	PG	Adventure
111	Bad Boys II	130000000.0	138540870.0	273271982.0	R	Action
112	Rio 2	130000000.0	131538435.0	492846291.0	G	Adventure
113	Noah	130000000.0	101200044.0	352831065.0	PG-13	Drama
114	The Adventures of Tintin	130000000.0	77591831.0	373993951.0	PG	Adventure
115	After Earth	130000000.0	60522097.0	251499665.0	PG-13	Action
116	Australia	130000000.0	49554002.0	215080810.0	PG-13	Drama
117	R.I.P.D.	130000000.0	33618855.0	79076678.0	PG-13	Action
118	Dinosaur	127500000.0	137748063.0	356148063.0	PG	Adventure
119	Logan	127000000.0	226277068.0	615476965.0	R	Action
120	X-Men 2	125000000.0	214949694.0	406875536.0	PG-13	Action
121	Fast Five	125000000.0	210031325.0	630163454.0	PG-13	Action
122	Sherlock Holmes: A Game of Shadows	125000000.0	186848418.0	535663443.0	PG-13	Action
123	The Day After Tomorrow	125000000.0	186740799.0	556319450.0	PG-13	Adventure
124	The Boss Baby	125000000.0	175003033.0	510888357.0	PG	Adventure
125	Clash of the Titans	125000000.0	163214888.0	493214888.0	PG-13	Action
126	Trolls	125000000.0	153707064.0	344527425.0	PG	Adventure
127	Godzilla	125000000.0	136314294.0	376000000.0	PG-13	Action
128	Prometheus	125000000.0	126477084.0	402448265.0	R	Adventure
129	Batman & Robin	125000000.0	107325195.0	238317814.0	PG-13	Action
130	Skyscraper	125000000.0	67796355.0	304034615.0	PG	Action
131	Assassin’s Creed	125000000.0	54647948.0	240497948.0	PG-13	Action
132	Monster Trucks	125000000.0	33370166.0	61642798.0	PG-13	Adventure
133	The 13th Warrior	125000000.0	32698899.0	61698899.0	R	Action
134	How the Grinch Stole Christmas	123000000.0	260044825.0	345141403.0	PG	Adventure
135	Mission: Impossible 2	120000000.0	215409889.0	549588516.0	PG-13	Action
136	The Perfect Storm	120000000.0	182618434.0	328711434.0	PG-13	Drama
137	Jason Bourne	120000000.0	162192920.0	416197059.0	PG-13	Action
138	Life of Pi	120000000.0	124987022.0	607258634.0	PG	Drama
139	Ghost Rider	120000000.0	115802596.0	229545589.0	PG-13	Action
140	Charlie's Angels: Full Throttle	120000000.0	100814328.0	227200000.0	PG-13	Action
141	Rampage	120000000.0	99345950.0	424745950.0	PG-13	Action
142	Elysium	120000000.0	93050117.0	286192091.0	R	Action
143	Power Rangers	120000000.0	85364450.0	142545357.0	PG-13	Action
144	Stuart Little 2	120000000.0	64956806.0	166000000.0	PG	Adventure
145	The Chronicles of Riddick	120000000.0	57712751.0	107212751.0	PG-13	Adventure
146	Speed Racer	120000000.0	43945766.0	93394462.0	PG	Action
147	The Island	120000000.0	35818913.0	163018913.0	PG-13	Action
148	Knight and Day	117000000.0	76423035.0	258751370.0	PG-13	Action
149	Star Wars Ep. I: The Phantom Menace	115000000.0	474544677.0	1027044677.0	PG	Adventure
150	Monsters, Inc.	115000000.0	289423425.0	559757719.0	G	Adventure
151	The Wolverine	115000000.0	132556852.0	416456852.0	PG-13	Action
152	Dante's Peak	115000000.0	67163857.0	178200000.0	PG-13	Drama
153	The Huntsman: Winter’s War	115000000.0	48003015.0	165149302.0	PG-13	Action
154	Windtalkers	115000000.0	40914068.0	77628265.0	R	Action
155	Gulliver's Travels	112000000.0	42779261.0	232017848.0	PG	Adventure
156	Ferdinand	111000000.0	84410380.0	289867087.0	PG	Adventure
157	Deadpool 2	110000000.0	318491426.0	733809601.0	R	Action
158	Night at the Museum	110000000.0	250863268.0	579446407.0	PG	Adventure
159	Mr. and Mrs. Smith	110000000.0	186336279.0	486124090.0	PG-13	Action
160	San Andreas	110000000.0	155190832.0	457199280.0	PG-13	Adventure
161	The Smurfs	110000000.0	142614158.0	563749323.0	PG	Adventure
162	Live Free or Die Hard	110000000.0	134529403.0	382288147.0	PG-13	Action
163	The Divergent Series: Insurgent	110000000.0	130179072.0	295075882.0	PG-13	Action
164	Ocean's Twelve	110000000.0	125531634.0	362989076.0	PG-13	Adventure
165	Tomorrow Never Dies	110000000.0	125304276.0	339504276.0	PG-13	Action
166	The Patriot	110000000.0	113330342.0	215300000.0	R	Drama
167	300: Rise of an Empire	110000000.0	106580051.0	330780051.0	R	Action
168	The Green Hornet	110000000.0	98780042.0	229155503.0	PG-13	Action
169	Real Steel	110000000.0	85463309.0	263880341.0	PG-13	Action
170	The A-Team	110000000.0	77222099.0	177241171.0	PG-13	Action
171	The Smurfs 2	110000000.0	71017784.0	348547523.0	PG	Adventure
172	The Divergent Series: Allegiant	110000000.0	66184051.0	171871661.0	PG-13	Action
173	The Taking of Pelham 123	110000000.0	65452312.0	152364370.0	R	Action
174	Ender's Game	110000000.0	61737191.0	127983283.0	PG-13	Adventure
175	Home on the Range	110000000.0	50026353.0	76482461.0	PG	Adventure
176	Speed 2: Cruise Control	110000000.0	48097081.0	150468000.0	PG-13	Action
177	Kingdom of Heaven	110000000.0	47398413.0	218853353.0	R	Adventure
178	Ghost in the Shell	110000000.0	40563557.0	167918847.0	PG-13	Action
179	The Cat in the Hat	109000000.0	101018283.0	133818283.0	PG	Adventure
180	Ali	109000000.0	58183966.0	87683966.0	R	Drama
181	Allied	106000000.0	40098064.0	119285656.0	R	Drama
182	I, Robot	105000000.0	144801023.0	348629585.0	PG-13	Action
183	Stuart Little	105000000.0	140015224.0	298815224.0	PG	Adventure
184	The Princess and the Frog	105000000.0	104400899.0	270997378.0	G	Adventure
185	10,000 B.C.	105000000.0	94784201.0	269065678.0	PG-13	Adventure
186	Ice Age: Collision Course	105000000.0	64063008.0	403092412.0	PG	Adventure
187	Kingsman: The Golden Circle	104000000.0	100234838.0	408822328.0	R	Action
188	Gone in 60 Seconds	103300000.0	101643008.0	232643008.0	PG-13	Action
189	The Hangover 3	103000000.0	112200072.0	362000072.0	R	Comedy
190	A Wrinkle in Time	103000000.0	100478608.0	133401882.0	PG	Adventure
191	Public Enemies	102500000.0	97104620.0	212282709.0	R	Drama
192	Casino Royale	102000000.0	167365000.0	594420283.0	PG-13	Action
193	Minority Report	102000000.0	132024714.0	358824714.0	PG-13	Action
194	Cloud Atlas	102000000.0	27108272.0	130673154.0	R	Drama
195	Terminator 2: Judgment Day	100000000.0	203464105.0	515419827.0	R	Action
196	Batman Forever	100000000.0	184031112.0	336529144.0	PG-13	Action
197	Planet of the Apes	100000000.0	180011740.0	362211740.0	PG-13	Adventure
198	National Treasure	100000000.0	173005002.0	331323410.0	PG	Adventure
199	Venom	100000000.0	171125095.0	461825095.0	PG-13	Action
200	Little Fockers	100000000.0	148438600.0	310650574.0	PG-13	Comedy
201	True Lies	100000000.0	146282411.0	365300000.0	R	Action
202	American Gangster	100000000.0	130164645.0	267985456.0	R	Drama
203	Cloudy with a Chance of Meatballs	100000000.0	124870275.0	236827677.0	PG	Adventure
204	The Other Guys	100000000.0	119219978.0	170936470.0	PG-13	Comedy
205	Epic	100000000.0	107518682.0	262794441.0	PG	Adventure
206	Eraser	100000000.0	101295562.0	234400000.0	R	Action
207	The Hunchback of Notre Dame	100000000.0	100138851.0	325500000.0	G	Adventure
208	The Emperor's New Groove	100000000.0	89296573.0	169296573.0	G	Adventure
209	The Expendables 2	100000000.0	85028192.0	311979256.0	R	Action
210	Where the Wild Things Are	100000000.0	77233467.0	99123656.0	PG	Adventure
211	Eragon	100000000.0	75030163.0	249488115.0	PG	Adventure
212	Hercules	100000000.0	72688614.0	243388614.0	PG-13	Action
213	End of Days	100000000.0	66889043.0	212026975.0	R	Action
214	The Stepford Wives	100000000.0	59475623.0	96221971.0	PG-13	Comedy
215	Surf's Up	100000000.0	58867694.0	145395745.0	PG	Adventure
216	Blood Diamond	100000000.0	57377916.0	171377916.0	R	Action
217	Starship Troopers	100000000.0	54768952.0	121100000.0	R	Action
218	Land of the Lost	100000000.0	49438370.0	69548641.0	PG-13	Comedy
219	Catwoman	100000000.0	40202379.0	82145379.0	PG-13	Action
220	The Expendables 3	100000000.0	39322544.0	209461378.0	PG-13	Action
221	Treasure Planet	100000000.0	38120554.0	91800000.0	PG	Adventure
222	Green Zone	100000000.0	35497337.0	97523020.0	R	Drama
223	Geostorm	100000000.0	33700160.0	220800160.0	PG-13	Action
224	In the Heart of the Sea	100000000.0	25020758.0	89693309.0	PG-13	Adventure
225	Son of the Mask	100000000.0	17018422.0	59918422.0	PG	Adventure
226	The Adventures of Pluto Nash	100000000.0	4411102.0	7094995.0	PG-13	Comedy
227	Jin líng shí san chai	100000000.0	311434.0	98227017.0	R	Drama
228	Wonder Park	100000000.0	0.0	0.0	PG	Adventure
229	The Peanuts Movie	99000000.0	130178411.0	250091610.0	G	Adventure
230	The Mummy Returns	98000000.0	202007640.0	435040395.0	PG-13	Adventure
231	Gangs of New York	97000000.0	77730500.0	183124621.0	R	Drama
232	Alien: Covenant	97000000.0	74262031.0	238521247.0	R	Horror
233	Cinderella	95000000.0	201151353.0	534551353.0	PG	Drama
234	Ice Age: Continental Drift	95000000.0	161321843.0	879765137.0	PG	Adventure
235	Black Hawk Down	95000000.0	108638745.0	159691085.0	R	Action
236	Sex and the City 2	95000000.0	95347692.0	294680778.0	R	Comedy
237	The Campaign	95000000.0	86907746.0	104907746.0	R	Comedy
238	Unstoppable	95000000.0	81562942.0	165720921.0	PG-13	Action
239	The Fifth Element	95000000.0	63570862.0	263898761.0	PG-13	Action
240	The Road to El Dorado	95000000.0	50802661.0	65700000.0	PG	Adventure
241	The Lovely Bones	95000000.0	44114232.0	94894448.0	PG-13	Drama
242	Seventh Son	95000000.0	17725785.0	109485785.0	PG-13	Adventure
243	Finding Nemo	94000000.0	380529370.0	936429370.0	G	Adventure
244	Lara Croft: Tomb Raider	94000000.0	131144183.0	273330185.0	PG-13	Adventure
245	Kingsman: The Secret Service	94000000.0	128261724.0	404561724.0	R	Action
246	Jurassic Park III	93000000.0	181166115.0	365900000.0	PG-13	Action
247	Rise of the Planet of the Apes	93000000.0	176760185.0	482860185.0	PG-13	Adventure
248	The Spiderwick Chronicles	92500000.0	71195053.0	162839667.0	PG	Adventure
249	The Incredibles	92000000.0	261441092.0	614726752.0	PG	Adventure
250	A Good Day to Die Hard	92000000.0	67349198.0	304249198.0	R	Action
251	Cutthroat Island	92000000.0	10017322.0	18517322.0	PG-13	Adventure
252	The Secret Life of Walter Mitty	91000000.0	58236838.0	187861183.0	PG	Adventure
253	Jumanji: Welcome to the Jungle	90000000.0	404508916.0	961758540.0	PG-13	Adventure
254	Men in Black	90000000.0	250690539.0	587790539.0	PG-13	Adventure
255	Toy Story 2	90000000.0	245852179.0	511358276.0	G	Adventure
256	Rush Hour 2	90000000.0	226164286.0	347425832.0	PG-13	Action
257	Sherlock Holmes	90000000.0	209028679.0	498438212.0	PG-13	Adventure
258	Ice Age: Dawn of the Dinosaurs	90000000.0	196573705.0	859701857.0	PG	Adventure
259	Rio	90000000.0	143619809.0	487519809.0	G	Adventure
260	The Departed	90000000.0	132384315.0	289660619.0	R	Drama
261	Charlie's Angels	90000000.0	125305545.0	259736090.0	PG-13	Action
262	Mulan	90000000.0	120620254.0	303500000.0	G	Adventure
263	Tropic Thunder	90000000.0	110515313.0	191145256.0	R	Comedy
264	Contact	90000000.0	100920329.0	165900000.0	PG	Drama
265	You Don't Mess With the Zohan	90000000.0	100018837.0	202910991.0	PG-13	Comedy
266	Die Hard: With a Vengeance	90000000.0	100012499.0	366101666.0	R	Action
267	Atlantis: The Lost Empire	90000000.0	84052762.0	186049020.0	PG	Adventure
268	Pixels	90000000.0	78765986.0	244041804.0	PG-13	Adventure
269	Artificial Intelligence: AI	90000000.0	78616689.0	235900000.0	PG-13	Drama
270	The Haunted Mansion	90000000.0	75817994.0	155750628.0	PG	Adventure
271	Hollow Man	90000000.0	73209340.0	191200000.0	R	Horror
272	Percy Jackson: Sea of Monsters	90000000.0	68559554.0	200859554.0	PG	Adventure
273	Spy Game	90000000.0	62362560.0	143049560.0	R	Action
274	The Saint	90000000.0	61363304.0	169400000.0	PG-13	Action
275	Mission to Mars	90000000.0	60874615.0	106000000.0	PG	Adventure
276	Bicentennial Man	90000000.0	58220776.0	87420776.0	PG	Drama
277	Tomb Raider	90000000.0	57421715.0	272648985.0	PG-13	Action
278	King Arthur	90000000.0	51877963.0	203877963.0	PG-13	Adventure
279	Volcano	90000000.0	47546796.0	120100000.0	PG-13	Action
280	K-19: The Widowmaker	90000000.0	35168966.0	65716126.0	PG-13	Action
281	The Promise	90000000.0	8224288.0	10551417.0	PG-13	Drama
282	Twister	88000000.0	241688385.0	495700000.0	PG-13	Action
283	Cinderella Man	88000000.0	61649911.0	105021488.0	PG-13	Drama
284	The Predator	88000000.0	50787159.0	127987159.0	R	Action
285	Fantastic Four	87500000.0	154696080.0	333132750.0	PG-13	Action
286	Hannibal	87000000.0	165092266.0	350100280.0	R	Horror
287	Seabiscuit	86000000.0	120277854.0	148715342.0	PG-13	Drama
288	Cast Away	85000000.0	233632142.0	427230516.0	PG-13	Drama
289	Happy Feet	85000000.0	198000317.0	385000317.0	PG	Adventure
290	Air Force One	85000000.0	172956409.0	315268353.0	R	Action
291	Fast & Furious	85000000.0	155064265.0	363064265.0	PG-13	Action
292	Horton Hears a Who	85000000.0	154529439.0	299477886.0	G	Adventure
293	Divergent	85000000.0	150947895.0	276014965.0	PG-13	Adventure
294	Hotel Transylvania	85000000.0	148313048.0	378505812.0	PG	Adventure
295	I Now Pronounce You Chuck and Larry	85000000.0	119725280.0	185708462.0	PG-13	Comedy
296	Ocean's Thirteen	85000000.0	117144465.0	311744465.0	PG-13	Adventure
297	Enemy of the State	85000000.0	111549836.0	250649836.0	R	Action
298	Open Season	85000000.0	85105259.0	191932158.0	PG	Adventure
299	Tower Heist	85000000.0	78046570.0	150422946.0	PG-13	Comedy
300	102 Dalmatians	85000000.0	66941559.0	66941559.0	G	Adventure
301	Mirror Mirror	85000000.0	64935167.0	173613482.0	PG	Adventure
302	Memoirs of a Geisha	85000000.0	57010853.0	161510853.0	PG-13	Drama
303	Enemy at the Gates	85000000.0	51396781.0	96971293.0	R	Drama
304	Last Action Hero	85000000.0	50016394.0	137298489.0	PG-13	Action
305	The Rundown	85000000.0	47641743.0	80831893.0	PG-13	Action
306	Arthur Christmas	85000000.0	46462469.0	149717124.0	PG	Adventure
307	xXx: Return of Xander Cage	85000000.0	44898413.0	345044476.0	PG-13	Action
308	Meet Joe Black	85000000.0	44650003.0	44650003.0	PG-13	Drama
309	Collateral Damage	85000000.0	40048332.0	78353508.0	R	Action
310	Showtime	85000000.0	37948765.0	78948765.0	PG-13	Comedy
311	Judge Dredd	85000000.0	34687912.0	113487912.0	R	Action
312	Scott Pilgrim vs. The World	85000000.0	31611316.0	48056764.0	PG-13	Comedy
313	The Core	85000000.0	31111260.0	74132631.0	PG-13	Action
314	Father's Day	85000000.0	28681080.0	35681080.0	PG-13	Comedy
315	Scooby-Doo	84000000.0	153294164.0	276294164.0	PG	Adventure
316	Nutty Professor II: The Klumps	84000000.0	123307945.0	166307945.0	PG-13	Comedy
317	RED 2	84000000.0	53262560.0	141507355.0	PG-13	Action
318	Click	82500000.0	137355633.0	237685089.0	PG-13	Comedy
319	Charlotte's Web	82500000.0	82985708.0	143985708.0	G	Drama
320	Jumper	82500000.0	80172128.0	222640812.0	PG-13	Adventure
321	Hellboy II: The Golden Army	82500000.0	75986503.0	160388063.0	PG-13	Action
322	The Longest Yard	82000000.0	158119460.0	191558505.0	PG-13	Comedy
323	The Expendables	82000000.0	103068524.0	268268174.0	R	Action
324	The 6th Day	82000000.0	34543701.0	96024898.0	PG-13	Action
325	Bruce Almighty	81000000.0	242704995.0	484468608.0	PG-13	Comedy
326	The Hangover Part II	80000000.0	254464305.0	586464305.0	R	Comedy
327	Mission: Impossible	80000000.0	180981886.0	457697994.0	PG-13	Action
328	The Lego Batman Movie	80000000.0	175750384.0	310692896.0	PG	Adventure
329	Hotel Transylvania 2	80000000.0	169700110.0	469500298.0	PG	Adventure
330	Batman Returns	80000000.0	162833635.0	266824291.0	PG-13	Action
331	The Mummy	80000000.0	155385488.0	416385488.0	PG-13	Adventure
332	Over the Hedge	80000000.0	155019340.0	343397247.0	PG	Adventure
333	Lilo & Stitch	80000000.0	145771527.0	245800000.0	PG	Adventure
334	Deep Impact	80000000.0	140464664.0	349464664.0	PG-13	Adventure
335	Grown Ups 2	80000000.0	133668525.0	247023808.0	PG-13	Comedy
336	Get Smart	80000000.0	130319208.0	226739416.0	PG-13	Comedy
337	Robots	80000000.0	128200012.0	260700012.0	PG	Adventure
338	Four Christmases	80000000.0	120146040.0	168311558.0	PG-13	Comedy
339	Face/Off	80000000.0	112276146.0	241200000.0	R	Action
340	Bedtime Stories	80000000.0	110101975.0	221468935.0	PG	Adventure
341	Road to Perdition	80000000.0	104054514.0	183354514.0	R	Drama
342	Daredevil	80000000.0	102543518.0	182782518.0	PG-13	Action
343	Con Air	80000000.0	101117573.0	224117573.0	R	Action
344	Yogi Bear	80000000.0	100246011.0	204774690.0	PG	Adventure
345	Cold Mountain	80000000.0	95632614.0	165173909.0	R	Drama
346	The Book of Eli	80000000.0	94835059.0	158750817.0	R	Action
347	Flubber	80000000.0	92993801.0	177993801.0	PG	Comedy
348	The Haunting	80000000.0	91188905.0	180188905.0	PG-13	Horror
349	Space Jam	80000000.0	90463534.0	250200000.0	PG	Adventure
350	Fury	80000000.0	85817906.0	210315681.0	R	Drama
351	The Pink Panther	80000000.0	82226474.0	158926474.0	PG	Adventure
352	The Day the Earth Stood Still	80000000.0	79366978.0	233066978.0	PG-13	Adventure
353	Spirit: Stallion of the Cimarron	80000000.0	73215310.0	106515310.0	G	Adventure
354	Swordfish	80000000.0	69772969.0	147080413.0	R	Action
355	Lost In Space	80000000.0	69117629.0	136047317.0	PG-13	Adventure
356	Smallfoot	80000000.0	66361035.0	137161035.0	PG	Adventure
357	Bewitched	80000000.0	63313159.0	131159306.0	PG-13	Comedy
358	The Time Machine	80000000.0	56684819.0	98983590.0	PG-13	Adventure
359	What Dreams May Come	80000000.0	55485043.0	71485043.0	PG-13	Drama
360	Mighty Joe Young	80000000.0	50632037.0	50632037.0	PG	Adventure
361	The Legend of Zorro	80000000.0	45575336.0	141475336.0	PG	Adventure
362	Little Nicky	80000000.0	39442871.0	58270391.0	PG-13	Comedy
363	Surrogates	80000000.0	38577772.0	119668350.0	PG-13	Action
364	Evolution	80000000.0	38311134.0	98341932.0	PG-13	Comedy
365	The Brothers Grimm	80000000.0	37899638.0	105299638.0	PG-13	Adventure
366	Mars Attacks!	80000000.0	37771017.0	101371017.0	PG-13	Comedy
367	The Wild	80000000.0	37384046.0	99010667.0	G	Adventure
368	Walking with Dinosaurs	80000000.0	36076121.0	123386322.0	PG	Adventure
369	Thirteen Days	80000000.0	34566746.0	66554547.0	PG-13	Drama
370	Daylight	80000000.0	32908290.0	158908290.0	PG-13	Action
371	The Last Witch Hunter	80000000.0	27367660.0	131437876.0	PG-13	Action
372	Pompeii	80000000.0	23169033.0	108469033.0	PG-13	Drama
373	Looney Tunes: Back in Action	80000000.0	20950820.0	54540662.0	PG	Adventure
374	Timeline	80000000.0	19480739.0	26703184.0	PG-13	Adventure
375	Babe: Pig in the City	80000000.0	18319860.0	69131860.0	G	Adventure
376	The Postman	80000000.0	17650704.0	20841123.0	R	Action
377	Red Planet	80000000.0	17480890.0	33463969.0	PG-13	Action
378	Arthur et les Minimoys	80000000.0	15132763.0	113325743.0	PG	Adventure
379	A Sound of Thunder	80000000.0	1900451.0	6300451.0	PG-13	Action
