site,Q1_age,Q2_sex,Q3_grade,Q4_hispanic,Q5_race,Q6_height_m,Q7_weight_kg,Q25_bullied_school,Q26_sad_hopeless,Q27_suicide_consider,Q28_suicide_plan,Q29_suicide_attempt,Q30_suicide_injury,Q64_sexual_identity,Q65_transgender,Q80_social_media_hours,Q81_video_game_hours,BMI
XX,3.0,2.0,1.0,2.0,E,1.63,56.7,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,21.340660167864808
XX,5.0,1.0,1.0,1.0,C E,1.45,44.45,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,21.141498216409037
XX,5.0,1.0,3.0,2.0,C,1.57,73.48,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,8.0,2.0,29.810539981337985
XX,6.0,2.0,2.0,2.0,E,1.7,79.38,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,27.467128027681664
XX,6.0,2.0,3.0,2.0,E,1.75,83.92,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,27.40244897959184
XX,6.0,1.0,3.0,2.0,C,1.57,54.89,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,22.268651872286906
XX,5.0,1.0,1.0,2.0,DE,1.65,70.76,2.0,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,1.0,25.990817263544542
XX,3.0,1.0,1.0,2.0,E,1.52,49.9,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,21.597991689750693
XX,6.0,1.0,3.0,2.0,C,1.65,56.7,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,7.0,2.0,20.82644628099174
XX,4.0,1.0,1.0,2.0,C,1.63,53.52,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,8.0,2.0,20.14377658173059
XX,4.0,2.0,1.0,2.0,C,1.75,72.58,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,23.699591836734694
XX,6.0,1.0,3.0,2.0,C,1.65,99.79,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,36.653810835629024
XX,7.0,2.0,4.0,2.0,C,1.9,77.11,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,21.3601108033241
XX,7.0,2.0,4.0,2.0,E,1.83,80.74,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,24.109409059691238
XX,7.0,2.0,3.0,2.0,E,1.83,86.18,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,25.733823046373434
XX,4.0,1.0,2.0,2.0,C,,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,
XX,6.0,2.0,2.0,2.0,E,1.8,122.47,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,37.79938271604938
XX,4.0,2.0,1.0,2.0,C,1.75,61.24,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,19.996734693877553
XX,6.0,1.0,3.0,2.0,C,,,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,6.0,2.0,
XX,3.0,2.0,1.0,2.0,C,1.75,65.77,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,21.47591836734694
XX,3.0,2.0,1.0,2.0,C E,1.83,111.13,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,7.0,2.0,33.18403057720445
XX,6.0,2.0,3.0,2.0,E,1.78,70.31,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,22.191011235955056
XX,4.0,2.0,2.0,2.0,E,1.75,65.77,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,21.47591836734694
XX,3.0,1.0,1.0,2.0,A C,1.55,40.82,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,8.0,2.0,16.990634755463056
XX,3.0,1.0,1.0,2.0,E,1.63,54.43,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,20.4862810041778
XX,6.0,1.0,3.0,2.0,C,1.65,61.24,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,22.494031221303953
XX,5.0,2.0,2.0,2.0,C,1.8,86.18,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,26.598765432098766
XX,6.0,1.0,4.0,2.0,C,1.65,113.4,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,41.65289256198348
XX,6.0,1.0,3.0,1.0,E,1.7,45.36,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,6.0,2.0,15.695501730103807
XX,4.0,2.0,2.0,2.0,E,1.73,61.24,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,20.461759497477363
XX,6.0,1.0,3.0,2.0,E,1.68,68.04,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,24.107142857142865
XX,6.0,1.0,2.0,2.0,C,1.65,83.92,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,2.0,30.824609733700647
XX,7.0,1.0,3.0,2.0,E,1.65,79.38,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,29.15702479338843
XX,6.0,1.0,3.0,2.0,C,1.7,54.43,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,18.833910034602077
XX,6.0,2.0,4.0,2.0,E,1.75,90.72,,,,,,,1.0,1.0,8.0,2.0,29.622857142857143
XX,6.0,1.0,3.0,2.0,E,1.65,56.7,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,20.82644628099174
XX,4.0,2.0,2.0,2.0,E,1.88,90.72,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,8.0,2.0,25.667722951561792
XX,5.0,1.0,3.0,2.0,C,1.65,58.97,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,5.0,2.0,21.660238751147844
XX,6.0,2.0,2.0,2.0,C,1.83,74.39,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,22.213264056854488
XX,5.0,1.0,1.0,2.0,E,1.55,46.72,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,6.0,2.0,19.44640998959417
XX,4.0,2.0,1.0,2.0,C E,1.75,58.51,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,19.10530612244898
XX,4.0,2.0,1.0,2.0,E,1.83,72.58,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,21.672788079667946
XX,5.0,1.0,3.0,2.0,E,1.6,44.45,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,6.0,2.0,17.363281249999996
XX,4.0,1.0,2.0,2.0,E,1.57,81.65,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,33.12507606799465
XX,4.0,2.0,1.0,2.0,A C E,1.83,89.81,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,3.0,26.817761055869088
XX,4.0,1.0,1.0,2.0,C,,,1.0,1.0,2.0,2.0,1.0,1.0,6.0,4.0,4.0,1.0,
XX,7.0,1.0,4.0,1.0,E,,,2.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,
XX,3.0,2.0,1.0,2.0,C,1.8,70.31,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,21.700617283950617
XX,4.0,2.0,1.0,2.0,C E,1.73,61.69,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,20.61211533963714
XX,4.0,1.0,2.0,2.0,C,1.68,113.4,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,8.0,2.0,40.17857142857144
XX,5.0,1.0,2.0,2.0,C,1.63,74.84,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,28.168165907636723
XX,3.0,2.0,1.0,2.0,C,1.73,62.6,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,20.91616826489358
XX,7.0,2.0,4.0,2.0,E,1.68,71.67,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,25.393282312925173
XX,5.0,2.0,2.0,2.0,E,1.65,54.43,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,19.99265381083563
XX,4.0,2.0,1.0,2.0,C,1.6,67.59,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,26.402343749999996
XX,4.0,1.0,1.0,2.0,E,,,2.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,7.0,2.0,
XX,5.0,1.0,3.0,2.0,C,1.65,54.43,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,8.0,2.0,19.99265381083563
XX,6.0,1.0,2.0,2.0,C,1.57,63.5,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,25.76169418637673
XX,6.0,2.0,3.0,2.0,E,1.78,83.92,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,26.48655472793839
XX,7.0,2.0,4.0,2.0,E,1.73,70.31,2.0,2.0,2.0,2.0,1.0,1.0,,,,,23.492265027231113
XX,5.0,1.0,2.0,2.0,C,1.63,72.58,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,8.0,2.0,27.317550528811775
XX,6.0,2.0,3.0,2.0,E,1.78,66.68,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,21.045322560282795
XX,5.0,2.0,3.0,2.0,C,1.78,72.58,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,22.907461179144047
XX,4.0,2.0,2.0,2.0,C,1.85,78.02,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,22.796201607012414
XX,6.0,2.0,3.0,2.0,C,1.88,74.84,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,21.174739701222276
XX,5.0,1.0,3.0,2.0,C,1.55,50.8,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,21.144640998959414
XX,6.0,2.0,5.0,2.0,E,1.88,108.86,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,30.800135808057945
XX,6.0,1.0,3.0,2.0,E,1.65,56.7,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,20.82644628099174
XX,6.0,2.0,3.0,2.0,E,1.73,79.38,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,26.522770556984863
XX,5.0,2.0,3.0,2.0,C,1.78,72.58,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,22.907461179144047
XX,6.0,2.0,3.0,2.0,C,1.83,79.38,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,,23.703305563020688
XX,5.0,1.0,3.0,2.0,E,1.63,58.97,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,22.19503933155181
XX,4.0,1.0,2.0,2.0,E,1.6,53.07,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,20.730468749999996
XX,4.0,1.0,1.0,2.0,C,1.6,66.23,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,25.871093749999996
XX,4.0,1.0,2.0,2.0,A C E,1.68,62.14,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,8.0,2.0,22.016723356009074
XX,6.0,2.0,3.0,2.0,E,1.9,83.92,2.0,,,2.0,1.0,1.0,1.0,,2.0,3.0,23.246537396121884
XX,5.0,2.0,3.0,2.0,E,1.85,89.81,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,26.241051862673483
XX,5.0,2.0,2.0,2.0,C,1.75,97.52,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,31.843265306122447
XX,3.0,1.0,1.0,2.0,E,1.5,54.43,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,24.191111111111113
XX,4.0,1.0,1.0,2.0,C,1.65,72.58,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,7.0,2.0,26.6593204775023
XX,4.0,2.0,1.0,2.0,E,1.78,54.89,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,17.324201489710894
XX,6.0,1.0,2.0,2.0,C,1.57,63.5,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,25.76169418637673
XX,4.0,2.0,1.0,2.0,C,1.85,77.11,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,22.530314097881664
XX,4.0,1.0,1.0,2.0,E,1.63,62.6,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,8.0,1.0,23.561293236478605
XX,4.0,1.0,2.0,2.0,E,1.63,68.04,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,25.60879220143777
XX,5.0,1.0,1.0,2.0,E,1.7,83.92,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,29.038062283737027
XX,4.0,1.0,1.0,2.0,A C E,1.65,88.91,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,8.0,3.0,32.65748393021121
XX,6.0,1.0,2.0,2.0,C,1.52,78.93,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,8.0,2.0,34.162915512465375
XX,4.0,2.0,1.0,2.0,C,1.78,49.9,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,15.749274081555358
XX,4.0,1.0,1.0,2.0,E,1.68,54.89,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,8.0,2.0,19.447987528344676
XX,7.0,2.0,2.0,2.0,C,1.88,90.72,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,7.0,2.0,25.667722951561792
XX,7.0,2.0,3.0,2.0,E,1.93,97.52,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,26.180568605868615
XX,5.0,1.0,3.0,2.0,E,1.57,71.22,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,28.893667085885834
XX,4.0,1.0,2.0,2.0,C,1.68,66.23,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,23.46584467120182
XX,5.0,2.0,2.0,2.0,E,1.85,64.86,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,18.951059167275382
XX,6.0,2.0,3.0,2.0,E,1.75,68.04,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,22.21714285714286
XX,6.0,1.0,3.0,2.0,E,1.55,68.04,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,6.0,1.0,28.320499479708637
XX,6.0,2.0,2.0,2.0,C,1.85,70.31,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,20.543462381300216
XX,7.0,2.0,4.0,2.0,E,1.9,77.11,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,21.3601108033241
XX,6.0,1.0,3.0,2.0,E,1.6,48.54,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,18.960937499999996
XX,6.0,2.0,3.0,2.0,C,,,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,8.0,2.0,
XX,5.0,2.0,2.0,2.0,C,1.88,83.92,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,23.743775464010866
XX,6.0,2.0,4.0,2.0,E,1.83,99.79,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,29.797844068201496
XX,5.0,1.0,3.0,2.0,E,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,
XX,6.0,2.0,3.0,2.0,C,1.85,104.33,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,30.483564645726805
XX,5.0,2.0,2.0,2.0,C,1.7,68.04,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,23.543252595155714
XX,6.0,2.0,3.0,1.0,,1.93,68.04,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,,18.266262181535076
XX,6.0,2.0,3.0,2.0,E,1.85,56.7,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,16.566837107377648
XX,5.0,2.0,2.0,2.0,C,1.73,60.33,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,20.15770657222092
XX,6.0,2.0,4.0,1.0,C,1.8,68.04,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,21.0
XX,6.0,1.0,3.0,2.0,E,1.65,54.43,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,19.99265381083563
XX,6.0,2.0,3.0,2.0,A C,1.83,97.07,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,28.985637074860396
XX,4.0,2.0,2.0,2.0,E,1.8,68.04,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,21.0
XX,6.0,1.0,3.0,2.0,E,1.6,56.7,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,22.148437499999996
XX,6.0,2.0,3.0,2.0,C,1.93,111.13,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,29.834357969341458
XX,6.0,2.0,3.0,2.0,E,1.88,99.79,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,28.233929379809872
XX,5.0,1.0,2.0,2.0,E,1.5,40.82,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,6.0,2.0,18.142222222222223
XX,5.0,2.0,3.0,2.0,E,1.8,61.24,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,18.901234567901234
XX,7.0,1.0,3.0,2.0,C,1.68,97.98,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,8.0,1.0,34.71513605442178
XX,6.0,1.0,3.0,1.0,,1.5,33.11,1.0,1.0,2.0,2.0,3.0,3.0,6.0,1.0,8.0,2.0,14.715555555555556
XX,4.0,2.0,1.0,2.0,C E,1.78,75.3,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,23.76593864411059
XX,6.0,2.0,3.0,2.0,C,1.78,64.86,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,20.470900138871354
XX,6.0,1.0,3.0,2.0,C,1.57,86.18,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,34.96287881861333
XX,4.0,1.0,2.0,2.0,CD,1.57,60.78,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,24.658201144062637
XX,3.0,1.0,1.0,2.0,C,1.65,82.56,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,2.0,30.32506887052342
XX,4.0,1.0,1.0,2.0,C,1.6,70.76,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,8.0,2.0,27.640624999999996
XX,6.0,1.0,3.0,2.0,C,1.7,131.54,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,45.515570934256054
XX,6.0,2.0,3.0,2.0,C,1.88,70.76,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,20.020371208691717
XX,6.0,1.0,2.0,2.0,C,1.7,127.01,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,43.94809688581316
XX,3.0,2.0,1.0,2.0,C,1.78,107.96,2.0,2.0,2.0,2.0,1.0,1.0,,,,,34.07398055801035
XX,6.0,2.0,2.0,2.0,C,1.73,63.5,2.0,2.0,,2.0,1.0,1.0,6.0,1.0,8.0,3.0,21.216879949213137
XX,4.0,1.0,2.0,2.0,C,,,1.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,8.0,2.0,
XX,4.0,2.0,1.0,2.0,E,1.93,73.03,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,19.605895460280813
XX,,2.0,,2.0,C,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,
XX,7.0,2.0,3.0,2.0,C,1.83,75.3,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,22.484995073009046
XX,4.0,1.0,2.0,2.0,C,1.7,79.83,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,6.0,1.0,27.622837370242216
XX,4.0,1.0,1.0,2.0,C,1.6,104.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,40.75390624999999
XX,6.0,1.0,3.0,2.0,C,1.6,68.95,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,26.933593749999996
XX,6.0,1.0,3.0,2.0,C,1.5,66.23,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,29.435555555555556
