occupation,soc_code,occupation_type,employment_2024_thousands,employment_2034_thousands,employment_change_thousands,employment_change_percent,annual_openings_thousands,median_wage_2024,education_entry,work_experience,on_the_job_training
      Chief executives,11-1011,Line item,309.4,322.7,13.3,4.3,22.2,206420,Bachelor's degree,5 years or more,
      General and operations managers,11-1021,Line item,3712.9,3876.8,164,4.4,308.7,102950,Bachelor's degree,5 years or more,
      Legislators,11-1031,Line item,27.7,28.6,0.9,3.4,2.2,44810,Bachelor's degree,Less than 5 years,
      Advertising and promotions managers,Nov-11,Line item,27,26.4,-0.6,-2.2,2.1,126960,Bachelor's degree,Less than 5 years,
        Marketing managers,Nov-21,Line item,407,433.7,26.7,6.6,34.3,161030,Bachelor's degree,5 years or more,
        Sales managers,Nov-22,Line item,619.5,648.5,29,4.7,49,138060,Bachelor's degree,Less than 5 years,
        Public relations managers,Nov-32,Line item,83.2,87.3,4.1,5,6.6,138520,Bachelor's degree,5 years or more,
        Fundraising managers,Nov-33,Line item,45.7,47.6,1.9,4.2,3.6,123480,Bachelor's degree,5 years or more,
        Administrative services managers,Nov-12,Line item,271.2,283.8,12.6,4.6,23.2,108390,Bachelor's degree,Less than 5 years,
        Facilities managers,Nov-13,Line item,151.4,157.1,5.7,3.8,13.2,104690,Bachelor's degree,Less than 5 years,
      Computer and information systems managers,Nov-21,Line item,667.1,768.7,101.6,15.2,55.6,171200,Bachelor's degree,5 years or more,
      Financial managers,Nov-31,Line item,868.6,997.4,128.8,14.8,74.6,161700,Bachelor's degree,5 years or more,
      Industrial production managers,Nov-51,Line item,241.9,246.5,4.6,1.9,17.1,121440,Bachelor's degree,5 years or more,
      Purchasing managers,Nov-61,Line item,83.5,86.1,2.6,3.1,6.4,139510,Bachelor's degree,5 years or more,
"      Transportation, storage, and distribution managers",Nov-71,Line item,216.7,229.8,13.1,6.1,18.5,102010,High school diploma or equivalent,5 years or more,
      Compensation and benefits managers,Nov-11,Line item,20.9,20.9,0,0.2,1.5,140360,Bachelor's degree,5 years or more,
      Human resources managers,Nov-21,Line item,221.9,233,11.1,5,17.9,140030,Bachelor's degree,5 years or more,
      Training and development managers,Nov-31,Line item,46.4,49.2,2.7,5.8,3.8,127090,Bachelor's degree,5 years or more,
"      Farmers, ranchers, and other agricultural managers",Nov-13,Line item,836.1,825,-11.1,-1.3,85.5,87980,High school diploma or equivalent,5 years or more,
      Construction managers,Nov-21,Line item,550.3,598.4,48.1,8.7,46.8,106980,Bachelor's degree,,Moderate-term on-the-job training
"        Education and childcare administrators, preschool and daycare",Nov-31,Line item,90.2,87.9,-2.3,-2.5,5.5,56270,Bachelor's degree,Less than 5 years,
"        Education administrators, kindergarten through secondary",Nov-32,Line item,333.3,328.1,-5.1,-1.5,20.8,104070,Master's degree,5 years or more,
"        Education administrators, postsecondary",Nov-33,Line item,226.6,230.5,4,1.7,15.1,103960,Master's degree,Less than 5 years,
"        Education administrators, all other",Nov-39,Line item,60.2,61.7,1.5,2.5,4.1,89040,Bachelor's degree,Less than 5 years,
      Architectural and engineering managers,Nov-41,Line item,212.5,220.5,8,3.8,14.5,167740,Bachelor's degree,5 years or more,
      Food service managers,Nov-51,Line item,352.8,375.3,22.6,6.4,42,65310,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
        Gambling managers,Nov-71,Line item,5.1,5.2,0.1,1.2,0.6,85580,High school diploma or equivalent,Less than 5 years,
"        Entertainment and recreation managers, except gambling",Nov-72,Line item,43.2,46.5,3.3,7.7,5.5,77180,Bachelor's degree,Less than 5 years,
      Lodging managers,Nov-81,Line item,52,53.8,1.8,3.4,5.4,68130,High school diploma or equivalent,Less than 5 years,
      Medical and health services managers,Nov-11,Line item,616.2,759.1,142.9,23.2,62.1,117960,Bachelor's degree,Less than 5 years,
      Natural sciences managers,Nov-21,Line item,104.3,108.2,3.9,3.7,8.5,161180,Bachelor's degree,5 years or more,
      Postmasters and mail superintendents,Nov-31,Line item,13.1,12.7,-0.5,-3.5,0.9,92730,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"      Property, real estate, and community association managers",Nov-41,Line item,466.1,483.1,17,3.6,39,66700,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
      Social and community service managers,Nov-51,Line item,219.8,233.9,14.1,6.4,18.6,78240,Bachelor's degree,Less than 5 years,
      Emergency management directors,Nov-61,Line item,13.2,13.6,0.4,3,1,86130,Bachelor's degree,5 years or more,
        Funeral home managers,Nov-71,Line item,32.1,33.4,1.3,4.1,2.6,76830,Associate's degree,Less than 5 years,
"        Personal service managers, all other",Nov-79,Line item,25.1,26.7,1.6,6.5,2.1,61340,High school diploma or equivalent,Less than 5 years,
"      Managers, all other",Nov-99,Line item,1333.7,1393.5,59.8,4.5,106.7,136550,Bachelor's degree,Less than 5 years,
"      Agents and business managers of artists, performers, and athletes",13-1011,Line item,21.4,23.2,1.9,8.7,2.2,96310,Bachelor's degree,Less than 5 years,
      Buyers and purchasing agents,13-1020,Line item,522.2,552.3,30.1,5.8,52.2,75650,Bachelor's degree,,Moderate-term on-the-job training
"        Claims adjusters, examiners, and investigators",13-1031,Line item,356.1,337.9,-18.2,-5.1,21.1,76790,High school diploma or equivalent,,Long-term on-the-job training
"        Insurance appraisers, auto damage",13-1032,Line item,9.2,8.4,-0.8,-8.2,0.5,76650,Postsecondary nondegree award,,Moderate-term on-the-job training
      Compliance officers,13-1041,Line item,418,430.3,12.3,3,33.3,78420,Bachelor's degree,,Moderate-term on-the-job training
      Cost estimators,13-1051,Line item,221.4,212.1,-9.3,-4.2,16.9,77070,Bachelor's degree,,Moderate-term on-the-job training
        Human resources specialists,13-1071,Line item,944.3,1002.7,58.4,6.2,81.8,72910,Bachelor's degree,,
        Farm labor contractors,13-1074,Line item,3.9,4.2,0.2,6,0.3,48690,No formal educational credential,Less than 5 years,Short-term on-the-job training
        Labor relations specialists,13-1075,Line item,65.4,65.4,-0.1,-0.1,5.1,93500,Bachelor's degree,Less than 5 years,
        Logisticians,13-1081,Line item,241,281.3,40.3,16.7,26.4,80880,Bachelor's degree,,
        Project management specialists,13-1082,Line item,1046.3,1105,58.7,5.6,78.2,100750,Bachelor's degree,,
      Management analysts,13-1111,Line item,1075.1,1169.7,94.5,8.8,98.1,101190,Bachelor's degree,Less than 5 years,
"      Meeting, convention, and event planners",13-1121,Line item,155.8,163.3,7.5,4.8,15.5,59440,Bachelor's degree,,
      Fundraisers,13-1131,Line item,134.4,140.2,5.8,4.3,10.2,66490,Bachelor's degree,,
"      Compensation, benefits, and job analysis specialists",13-1141,Line item,107,112.7,5.6,5.3,8.5,77020,Bachelor's degree,Less than 5 years,
      Training and development specialists,13-1151,Line item,452.3,501,48.7,10.8,43.9,65850,Bachelor's degree,Less than 5 years,
      Market research analysts and marketing specialists,13-1161,Line item,941.7,1004.7,63,6.7,87.2,76950,Bachelor's degree,,
"      Business operations specialists, all other",13-1199,Line item,1205.7,1242,36.3,3,108.2,81270,Bachelor's degree,,
      Accountants and auditors,13-2011,Line item,1579.8,1652.6,72.8,4.6,124.2,81680,Bachelor's degree,,
      Property appraisers and assessors,13-2020,Line item,77.3,80.2,2.9,3.8,6.3,65420,Bachelor's degree,,Long-term on-the-job training
      Budget analysts,13-2031,Line item,50.4,51,0.5,1,3.1,87930,Bachelor's degree,,
      Credit analysts,13-2041,Line item,67.8,64.8,-3,-4.4,3.7,80970,Bachelor's degree,,
        Financial and investment analysts,13-2051,Line item,368.5,389.6,21.1,5.7,25.1,101350,Bachelor's degree,,
        Personal financial advisors,13-2052,Line item,326,357.2,31.2,9.6,24.1,102140,Bachelor's degree,,Long-term on-the-job training
        Insurance underwriters,13-2053,Line item,127,123.7,-3.3,-2.6,8.2,79880,Bachelor's degree,,Moderate-term on-the-job training
        Financial risk specialists,13-2054,Line item,60.5,64.4,3.9,6.5,4.8,106000,Bachelor's degree,,
      Financial examiners,13-2061,Line item,65.1,77.2,12.1,18.5,5.7,90400,Bachelor's degree,,Long-term on-the-job training
        Credit counselors,13-2071,Line item,31.8,32.9,1.1,3.3,2.2,50480,Bachelor's degree,,Moderate-term on-the-job training
        Loan officers,13-2072,Line item,301.4,306.5,5,1.7,20.3,74180,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"        Tax examiners and collectors, and revenue agents",13-2081,Line item,57.6,56.5,-1,-1.8,4.3,59740,Bachelor's degree,,Moderate-term on-the-job training
        Tax preparers,13-2082,Line item,90.6,94.7,4.1,4.5,10.4,50560,High school diploma or equivalent,,Moderate-term on-the-job training
"      Financial specialists, all other",13-2099,Line item,137.1,141.4,4.3,3.1,10.3,80190,Bachelor's degree,,
        Computer systems analysts,15-1211,Line item,521.1,566.5,45.5,8.7,34.2,103790,Bachelor's degree,,
        Information security analysts,15-1212,Line item,182.8,234.9,52.1,28.5,16,124910,Bachelor's degree,Less than 5 years,
      Computer and information research scientists,15-1221,Line item,40.3,48.3,7.9,19.7,3.2,140910,Master's degree,,
        Computer network support specialists,15-1231,Line item,152.7,155.5,2.8,1.8,9.6,73340,Associate's degree,,Moderate-term on-the-job training
        Computer user support specialists,15-1232,Line item,729.5,702.5,-27,-3.7,40.8,60340,"Some college, no degree",,Moderate-term on-the-job training
        Computer network architects,15-1241,Line item,179.2,200.6,21.4,11.9,11.2,130390,Bachelor's degree,5 years or more,
        Database administrators,15-1242,Line item,78,77.5,-0.5,-0.7,3.8,104620,Bachelor's degree,,
        Database architects,15-1243,Line item,66.9,72.7,5.8,8.7,4,135980,Bachelor's degree,Less than 5 years,
        Network and computer systems administrators,15-1244,Line item,331.5,317.7,-13.8,-4.2,14.3,96800,Bachelor's degree,,
        Computer programmers,15-1251,Line item,121.2,113.9,-7.2,-6,5.5,98670,Bachelor's degree,,
        Software developers,15-1252,Line item,1693.8,1961.4,267.7,15.8,115.2,133080,Bachelor's degree,,
        Software quality assurance analysts and testers,15-1253,Line item,201.7,221.9,20.2,10,14,102610,Bachelor's degree,,
        Web developers,15-1254,Line item,86,92.5,6.5,7.5,5.4,90930,Bachelor's degree,,
        Web and digital interface designers,15-1255,Line item,128.9,137.9,9,7,9.1,98090,Bachelor's degree,,
"      Computer occupations, all other",15-1299,Line item,472,510.5,38.5,8.2,31.3,108970,Bachelor's degree,,
      Actuaries,15-2011,Line item,33.6,40.9,7.3,21.8,2.4,125770,Bachelor's degree,,Long-term on-the-job training
      Mathematicians,15-2021,Line item,2.4,2.4,0,-0.7,0.1,121680,Master's degree,,
      Operations research analysts,15-2031,Line item,112.1,136.2,24.1,21.5,9.6,91290,Bachelor's degree,,
      Statisticians,15-2041,Line item,32.2,34.9,2.7,8.5,2,103300,Master's degree,,
      Data scientists,15-2051,Line item,245.9,328.3,82.5,33.5,23.4,112590,Bachelor's degree,,
"      Mathematical science occupations, all other",15-2099,Line item,5,5.2,0.2,4,0.3,71490,Bachelor's degree,,
"        Architects, except landscape and naval",17-1011,Line item,123.6,128.4,4.8,3.9,7.8,96690,Bachelor's degree,,Internship/residency
        Landscape architects,17-1012,Line item,21.8,22.6,0.8,3.5,1.7,79660,Bachelor's degree,,Internship/residency
        Cartographers and photogrammetrists,17-1021,Line item,13.4,14.3,0.9,6.4,1,78380,Bachelor's degree,,
        Surveyors,17-1022,Line item,56.1,58.6,2.5,4.4,3.9,72740,Bachelor's degree,,Internship/residency
      Aerospace engineers,17-2011,Line item,71.6,75.9,4.4,6.1,4.5,134830,Bachelor's degree,,
      Agricultural engineers,17-2021,Line item,1.7,1.8,0.1,5.9,0.1,84630,Bachelor's degree,,
      Bioengineers and biomedical engineers,17-2031,Line item,22.2,23.3,1.1,5.2,1.3,106950,Bachelor's degree,,
      Chemical engineers,17-2041,Line item,21.6,22.1,0.6,2.6,1.1,121860,Bachelor's degree,,
      Civil engineers,17-2051,Line item,368.9,387.5,18.5,5,23.6,99590,Bachelor's degree,,
      Computer hardware engineers,17-2061,Line item,76.8,82.4,5.6,7.3,4.7,155020,Bachelor's degree,,
        Electrical engineers,17-2071,Line item,192,205.7,13.8,7.2,11.7,111910,Bachelor's degree,,
"        Electronics engineers, except computer",17-2072,Line item,95.9,101.8,6,6.2,5.7,127590,Bachelor's degree,,
      Environmental engineers,17-2081,Line item,39.4,41,1.5,3.9,3,104170,Bachelor's degree,,
"        Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,23.8,24.9,1.1,4.4,1.5,109660,Bachelor's degree,,
        Industrial engineers,17-2112,Line item,351.1,389.6,38.5,11,25.2,101140,Bachelor's degree,,
      Marine engineers and naval architects,17-2121,Line item,8.5,9,0.5,5.8,0.6,105670,Bachelor's degree,,
      Materials engineers,17-2131,Line item,23,24.3,1.3,5.7,1.5,108310,Bachelor's degree,,
      Mechanical engineers,17-2141,Line item,293.1,319.6,26.5,9.1,18.1,102320,Bachelor's degree,,
"      Mining and geological engineers, including mining safety engineers",17-2151,Line item,7,7,0,0.7,0.4,101020,Bachelor's degree,,
      Nuclear engineers,17-2161,Line item,15.4,15.3,-0.2,-1.1,0.8,127520,Bachelor's degree,,
      Petroleum engineers,17-2171,Line item,19.6,19.8,0.2,1.3,1.2,141280,Bachelor's degree,,
"      Engineers, all other",17-2199,Line item,158.8,162.1,3.3,2.1,9.3,117750,Bachelor's degree,,
        Architectural and civil drafters,17-3011,Line item,110.5,115.1,4.6,4.1,10,64280,Associate's degree,,
        Electrical and electronics drafters,17-3012,Line item,21.6,20.4,-1.2,-5.6,1.7,73720,Associate's degree,,
        Mechanical drafters,17-3013,Line item,42.9,40.1,-2.8,-6.5,3.3,68510,Associate's degree,,
"        Drafters, all other",17-3019,Line item,17.1,15.9,-1.2,-6.9,1.3,62010,Associate's degree,,
        Aerospace engineering and operations technologists and technicians,17-3021,Line item,9.3,10.1,0.8,8.1,0.9,79830,Associate's degree,,
        Civil engineering technologists and technicians,17-3022,Line item,64.9,66.2,1.4,2.1,5.5,64200,Associate's degree,,
        Electrical and electronic engineering technologists and technicians,17-3023,Line item,93.7,94.3,0.6,0.6,8.4,77180,Associate's degree,,
        Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,15,15.1,0.2,1.1,1.3,70760,Associate's degree,,
        Environmental engineering technologists and technicians,17-3025,Line item,12.9,13,0.1,1.2,1.1,58890,Associate's degree,,
        Industrial engineering technologists and technicians,17-3026,Line item,74.6,75.9,1.3,1.7,6.3,64790,Associate's degree,,
        Mechanical engineering technologists and technicians,17-3027,Line item,38.3,38.3,0,0,3.2,68730,Associate's degree,,
        Calibration technologists and technicians,17-3028,Line item,15.8,16.5,0.7,4.7,1.4,65040,Associate's degree,,
"        Engineering technologists and technicians, except drafters, all other",17-3029,Line item,67.3,68.3,1,1.5,5.7,77390,Associate's degree,,
      Surveying and mapping technicians,17-3031,Line item,59.4,62.1,2.7,4.5,7.6,51940,High school diploma or equivalent,,Moderate-term on-the-job training
        Animal scientists,19-1011,Line item,2.8,2.9,0.2,5.8,0.2,79120,Bachelor's degree,,
        Food scientists and technologists,19-1012,Line item,15.2,16.2,1,6.5,1.2,85310,Bachelor's degree,,
        Soil and plant scientists,19-1013,Line item,20.7,21.8,1.1,5.4,1.7,71410,Bachelor's degree,,
        Biochemists and biophysicists,19-1021,Line item,35.6,37.6,2.1,5.8,2.9,103650,Doctoral or professional degree,,
        Microbiologists,19-1022,Line item,20.7,21.6,0.8,4.1,1.7,87330,Bachelor's degree,,
        Zoologists and wildlife biologists,19-1023,Line item,18.2,18.5,0.3,1.6,1.4,72860,Bachelor's degree,,
"        Biological scientists, all other",19-1029,Line item,63.7,64.5,0.8,1.2,4.8,93330,Bachelor's degree,,
        Conservation scientists,19-1031,Line item,28.5,29.5,1,3.4,2.5,67950,Bachelor's degree,,
        Foresters,19-1032,Line item,13.8,14,0.2,1.2,1.1,70660,Bachelor's degree,,
        Epidemiologists,19-1041,Line item,12.3,14.3,2,16.2,0.8,83980,Master's degree,,
"        Medical scientists, except epidemiologists",19-1042,Line item,165.3,179.6,14.3,8.7,9.6,100590,Doctoral or professional degree,,
"      Life scientists, all other",19-1099,Line item,7.8,8.1,0.3,3.7,0.4,87800,Bachelor's degree,,
        Astronomers,19-2011,Line item,1.8,1.8,0,2.2,0.1,132170,Doctoral or professional degree,,
        Physicists,19-2012,Line item,24.6,25.6,1,4,1.7,166290,Doctoral or professional degree,,
      Atmospheric and space scientists,19-2021,Line item,9.4,9.5,0.1,0.7,0.7,97450,Bachelor's degree,,
        Chemists,19-2031,Line item,86.8,91,4.3,4.9,6.3,84150,Bachelor's degree,,
        Materials scientists,19-2032,Line item,8.7,9.1,0.4,4.9,0.6,104160,Bachelor's degree,,
"        Environmental scientists and specialists, including health",19-2041,Line item,90.3,94.3,4,4.4,8.5,80060,Bachelor's degree,,
"        Geoscientists, except hydrologists and geographers",19-2042,Line item,25.1,26,0.8,3.2,2,99240,Bachelor's degree,,
        Hydrologists,19-2043,Line item,6.3,6.3,0,-0.1,0.5,92060,Bachelor's degree,,
"      Physical scientists, all other",19-2099,Line item,31.9,32.1,0.2,0.6,2,117960,Bachelor's degree,,
      Economists,19-3011,Line item,17.6,17.8,0.2,1.2,0.9,115440,Master's degree,,
      Survey researchers,19-3022,Line item,8.8,8.3,-0.5,-5.2,0.7,63380,Master's degree,,
        Industrial-organizational psychologists,19-3032,Line item,5.6,5.9,0.3,6.3,0.4,109840,Master's degree,,Internship/residency
        Clinical and counseling psychologists,19-3033,Line item,76.3,84.8,8.5,11.2,4.8,95830,Doctoral or professional degree,,Internship/residency
        School psychologists,19-3034,Line item,67.2,67.7,0.5,0.7,3.8,86930,Master's degree,,Internship/residency
"        Psychologists, all other",19-3039,Line item,55.3,57.7,2.4,4.3,3.9,117580,Master's degree,,Internship/residency
      Sociologists,19-3041,Line item,3.4,3.6,0.1,3.6,0.3,101690,Master's degree,,
      Urban and regional planners,19-3051,Line item,44.7,46.2,1.5,3.4,3.4,83720,Master's degree,,
        Anthropologists and archeologists,19-3091,Line item,8.8,9.2,0.3,3.7,0.8,64910,Master's degree,,
        Geographers,19-3092,Line item,1.5,1.5,0,-3.1,0.1,97200,Bachelor's degree,,
        Historians,19-3093,Line item,3.4,3.5,0.1,2.2,0.3,74050,Master's degree,,
        Political scientists,19-3094,Line item,6.5,6.3,-0.2,-3.1,0.5,139380,Master's degree,,
"        Social scientists and related workers, all other",19-3099,Line item,40.8,40.1,-0.7,-1.7,3.2,100340,Bachelor's degree,,
        Agricultural technicians,19-4012,Line item,18.6,19.4,0.8,4.3,2.9,46790,Associate's degree,,Moderate-term on-the-job training
        Food science technicians,19-4013,Line item,20.4,21.3,1,4.8,3.2,49430,Associate's degree,,Moderate-term on-the-job training
      Biological technicians,19-4021,Line item,82.7,85.6,2.9,3.5,9.1,52000,Bachelor's degree,,
      Chemical technicians,19-4031,Line item,57,59,2.1,3.7,6.7,57790,Associate's degree,,Moderate-term on-the-job training
"        Environmental science and protection technicians, including health",19-4042,Line item,40.4,42.1,1.6,4,5.6,49490,Associate's degree,,
"        Geological technicians, except hydrologic technicians",19-4043,Line item,9.8,10,0.1,1.5,1.3,48390,Associate's degree,,Moderate-term on-the-job training
        Hydrologic technicians,19-4044,Line item,3.1,3,-0.1,-2.1,0.4,58570,Associate's degree,,Moderate-term on-the-job training
      Nuclear technicians,19-4051,Line item,6,5.5,-0.5,-7.7,0.7,104240,Associate's degree,,Moderate-term on-the-job training
      Social science research assistants,19-4061,Line item,40.6,42.3,1.8,4.4,5.2,58040,Bachelor's degree,,
      Forest and conservation technicians,19-4071,Line item,33.8,32.7,-1.1,-3.2,3.9,54310,Associate's degree,,
        Forensic science technicians,19-4092,Line item,20.7,23.3,2.6,12.8,2.9,67440,Bachelor's degree,,Moderate-term on-the-job training
"        Life, physical, and social science technicians, all other",19-4099,Line item,83.2,86.2,2.9,3.5,10.6,60130,Associate's degree,,
      Occupational health and safety specialists,19-5011,Line item,131.9,148.4,16.5,12.5,14.9,83910,Bachelor's degree,,
      Occupational health and safety technicians,19-5012,Line item,31.9,34.6,2.7,8.5,3.4,58440,High school diploma or equivalent,,Moderate-term on-the-job training
"        Educational, guidance, and career counselors and advisors",21-1012,Line item,376.3,389.6,13.3,3.5,31,65140,Master's degree,,
        Marriage and family therapists,21-1013,Line item,77.8,87.7,9.8,12.6,7.7,63780,Master's degree,,Internship/residency
        Rehabilitation counselors,21-1015,Line item,91.9,93.2,1.3,1.4,10,46110,Master's degree,,
"        Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,483.5,564.6,81,16.8,48.3,59190,Master's degree,,Internship/residency
"        Counselors, all other",21-1019,Line item,69.1,77.8,8.7,12.6,7.4,49830,Master's degree,,
"        Child, family, and school social workers",21-1021,Line item,399.9,413.3,13.4,3.4,35.1,58570,Bachelor's degree,,
        Healthcare social workers,21-1022,Line item,193.2,208.1,14.8,7.7,18.4,68090,Master's degree,,Internship/residency
        Mental health and substance abuse social workers,21-1023,Line item,136.8,150.1,13.3,9.7,13.5,60060,Master's degree,,Internship/residency
"        Social workers, all other",21-1029,Line item,81,84.1,3.1,3.9,7,69480,Bachelor's degree,,
        Health education specialists,21-1091,Line item,71.8,75,3.2,4.5,7.9,63000,Bachelor's degree,,
        Probation officers and correctional treatment specialists,21-1092,Line item,92.3,94.8,2.4,2.6,7.9,64520,Bachelor's degree,,Moderate-term on-the-job training
        Social and human service assistants,21-1093,Line item,449.6,478.5,28.9,6.4,50.6,45120,High school diploma or equivalent,,Short-term on-the-job training
        Community health workers,21-1094,Line item,65.1,72.5,7.4,11.3,7.8,51030,High school diploma or equivalent,,Short-term on-the-job training
"        Community and social service specialists, all other",21-1099,Line item,119.2,124.7,5.5,4.6,13.1,54940,Bachelor's degree,,
      Clergy,21-2011,Line item,262,264.6,2.6,1,23,60820,Bachelor's degree,,Moderate-term on-the-job training
"      Directors, religious activities and education",21-2021,Line item,138.9,141.8,2.9,2.1,13.8,54840,Bachelor's degree,Less than 5 years,
"      Religious workers, all other",21-2099,Line item,88.4,89,0.6,0.6,11.1,45120,Bachelor's degree,,
        Lawyers,23-1011,Line item,864.8,900.7,35.9,4.1,31.5,151160,Doctoral or professional degree,,
        Judicial law clerks,23-1012,Line item,14.5,14.9,0.4,2.5,1,60400,Doctoral or professional degree,,
"        Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,17.5,17.4,-0.1,-0.7,0.5,115230,Doctoral or professional degree,5 years or more,Short-term on-the-job training
"        Arbitrators, mediators, and conciliators",23-1022,Line item,9.1,9.5,0.4,4.3,0.3,67710,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"        Judges, magistrate judges, and magistrates",23-1023,Line item,27.3,28,0.7,2.5,0.9,156210,Doctoral or professional degree,5 years or more,Short-term on-the-job training
      Paralegals and legal assistants,23-2011,Line item,376.2,376.8,0.6,0.2,39.3,61010,Associate's degree,,
"        Title examiners, abstractors, and searchers",23-2093,Line item,57.4,58.5,1.1,2,5.4,54980,High school diploma or equivalent,,Moderate-term on-the-job training
"        Legal support workers, all other",23-2099,Line item,51.3,50.7,-0.6,-1.2,4.7,68760,Associate's degree,,
"      Business teachers, postsecondary",25-1011,Line item,103.1,109,5.8,5.7,8.1,97270,Doctoral or professional degree,,
"        Computer science teachers, postsecondary",25-1021,Line item,44.8,47.2,2.4,5.3,3.5,96690,Doctoral or professional degree,,
"        Mathematical science teachers, postsecondary",25-1022,Line item,58.9,60.2,1.3,2.3,4.4,79350,Doctoral or professional degree,,
"        Architecture teachers, postsecondary",25-1031,Line item,11.6,11.9,0.2,2,0.9,101480,Doctoral or professional degree,,
"        Engineering teachers, postsecondary",25-1032,Line item,50.3,54.4,4.1,8.1,4.1,106120,Doctoral or professional degree,,
"        Agricultural sciences teachers, postsecondary",25-1041,Line item,10.7,11.2,0.4,4.1,0.8,86350,Doctoral or professional degree,,
"        Biological science teachers, postsecondary",25-1042,Line item,66,70.8,4.8,7.3,5.4,83460,Doctoral or professional degree,,
"        Forestry and conservation science teachers, postsecondary",25-1043,Line item,1.6,1.7,0.1,4,0.1,100830,Doctoral or professional degree,,
"        Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,14,14.4,0.4,2.6,1,101390,Doctoral or professional degree,,
"        Chemistry teachers, postsecondary",25-1052,Line item,25.4,26,0.6,2.2,1.9,86220,Doctoral or professional degree,,
"        Environmental science teachers, postsecondary",25-1053,Line item,9,9.3,0.3,2.9,0.7,87710,Doctoral or professional degree,,
"        Physics teachers, postsecondary",25-1054,Line item,17.1,17.5,0.4,2.5,1.3,97360,Doctoral or professional degree,,
"        Anthropology and archeology teachers, postsecondary",25-1061,Line item,6.5,6.7,0.2,2.7,0.5,95770,Doctoral or professional degree,,
"        Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,14.5,14.8,0.3,2.4,1.1,84290,Doctoral or professional degree,,
"        Economics teachers, postsecondary",25-1063,Line item,15.8,16.1,0.3,2.1,1.2,119980,Doctoral or professional degree,,
"        Geography teachers, postsecondary",25-1064,Line item,4,4.2,0.1,3.3,0.3,86730,Doctoral or professional degree,,
"        Political science teachers, postsecondary",25-1065,Line item,21.8,22.2,0.4,2,1.6,94680,Doctoral or professional degree,,
"        Psychology teachers, postsecondary",25-1066,Line item,52.5,54.4,1.9,3.6,4,80330,Doctoral or professional degree,,
"        Sociology teachers, postsecondary",25-1067,Line item,15.4,15.7,0.3,2.1,1.1,82540,Doctoral or professional degree,,
"        Social sciences teachers, postsecondary, all other",25-1069,Line item,20.7,21.1,0.4,1.7,1.5,75040,Doctoral or professional degree,,
"        Health specialties teachers, postsecondary",25-1071,Line item,289.6,339.7,50.1,17.3,27.4,105620,Doctoral or professional degree,Less than 5 years,
"        Nursing instructors and teachers, postsecondary",25-1072,Line item,91.6,106.9,15.3,16.8,8.6,79940,Doctoral or professional degree,Less than 5 years,
"        Education teachers, postsecondary",25-1081,Line item,74.9,76.5,1.6,2.1,5.6,72090,Doctoral or professional degree,Less than 5 years,
"        Library science teachers, postsecondary",25-1082,Line item,5.1,5.3,0.2,3,0.4,78630,Doctoral or professional degree,,
"        Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,16.2,16.5,0.3,2,1.2,71470,Doctoral or professional degree,,
"        Law teachers, postsecondary",25-1112,Line item,29.5,30.2,0.6,2.2,2.2,126650,Doctoral or professional degree,Less than 5 years,
"        Social work teachers, postsecondary",25-1113,Line item,17.1,17.5,0.4,2.3,1.3,76210,Doctoral or professional degree,,
"        Art, drama, and music teachers, postsecondary",25-1121,Line item,122.8,124.8,2.1,1.7,9,80190,Master's degree,,
"        Communications teachers, postsecondary",25-1122,Line item,35.8,36.6,0.8,2.1,2.7,77800,Doctoral or professional degree,,
"        English language and literature teachers, postsecondary",25-1123,Line item,72.2,72.2,0,0,5.1,78270,Doctoral or professional degree,,
"        Foreign language and literature teachers, postsecondary",25-1124,Line item,26.4,26.4,0,-0.2,1.9,77010,Doctoral or professional degree,,
"        History teachers, postsecondary",25-1125,Line item,24.6,24.6,-0.1,-0.2,1.7,81500,Doctoral or professional degree,,
"        Philosophy and religion teachers, postsecondary",25-1126,Line item,27.3,27.5,0.2,0.7,2,78050,Doctoral or professional degree,,
"        Family and consumer sciences teachers, postsecondary",25-1192,Line item,3.2,3.3,0.1,3.4,0.2,77280,Doctoral or professional degree,,
"        Recreation and fitness studies teachers, postsecondary",25-1193,Line item,15.4,15.7,0.4,2.4,1.1,75890,Doctoral or professional degree,,
"        Career/technical education teachers, postsecondary",25-1194,Line item,122.2,123,0.8,0.7,8.8,61490,Bachelor's degree,Less than 5 years,
"        Postsecondary teachers, all other",25-1199,Line item,183.4,186.8,3.4,1.8,13.5,78490,Doctoral or professional degree,,
"        Preschool teachers, except special education",25-2011,Line item,555.1,578.1,22.9,4.1,65.5,37120,Associate's degree,,
