AGE,SEX,EDUC,INCTOT,PERWT
87,2,7,24400,4200
52,2,6,51000,44800
56,2,10,170000,9000
83,2,10,20400,14300
58,1,6,80000,16300
69,1,6,12000,16200
57,2,2,39900,6300
57,2,2,40000,5200
32,2,10,45000,7500
71,2,6,11100,15300
42,2,6,65000,7200
33,2,10,80000,16900
66,2,6,36000,13400
69,1,11,85000,7300
28,2,11,53000,8700
26,2,7,88000,4600
50,1,8,67000,7100
68,2,10,154000,5300
42,1,11,100000,7200
75,1,7,96100,22400
37,1,10,19000,3400
65,2,10,72400,10400
74,2,11,89400,9700
69,2,8,5800,5200
72,2,11,43000,8300
70,1,11,6000,3900
88,2,11,30000,6300
62,1,6,44300,2600
70,2,6,28200,2100
37,2,10,1500,6200
42,2,8,40660,8000
75,2,11,50700,5100
77,2,6,103400,7300
44,2,11,67000,4800
46,1,6,60000,19500
32,2,10,67000,8700
42,2,10,82000,2400
42,1,6,31600,3200
42,1,6,80000,22600
71,2,11,12000,4100
59,1,10,5000,18100
67,2,6,66000,14100
38,2,11,200000,13100
65,1,11,78800,9200
73,1,5,6400,43100
60,1,10,143000,3700
77,2,8,20830,5600
37,1,6,40000,16500
61,1,7,10200,1600
74,2,7,24000,4600
64,2,11,105600,11500
83,2,6,25100,4200
42,1,10,320,20200
70,2,6,79700,5500
69,1,6,57400,9100
62,2,8,34200,1600
40,1,7,192000,6500
35,2,11,77000,7000
56,1,11,80000,11300
44,1,11,102500,10400
58,2,0,40000,3800
94,2,10,1400,1000
61,2,10,300500,14100
71,2,4,25000,14400
54,1,10,40000,9400
34,2,8,40000,10200
53,1,10,225000,8300
49,2,7,6000,7900
26,2,10,48000,18100
26,1,7,20000,7800
76,2,8,31300,4600
64,1,6,39400,3100
67,2,7,13200,15500
66,1,8,378000,4100
40,2,6,43800,2900
62,2,10,50000,13300
26,1,6,38000,11600
76,1,6,53300,9400
62,2,10,33700,1600
56,2,8,30000,4600
60,2,11,137000,9300
84,1,7,22000,3900
50,1,8,104000,4700
25,1,10,23800,20800
48,1,6,17000,73500
32,1,10,50000,7300
43,1,10,15000,7000
29,2,10,116000,22300
31,2,10,247000,16800
37,2,6,10000,11100
74,1,10,59000,1400
52,2,10,60000,16600
39,1,10,81300,5800
68,1,10,168400,5400
64,1,10,75000,17100
48,2,7,50000,7900
80,1,6,13100,20200
54,2,7,500,4200
34,1,6,50000,12200
55,2,7,37000,32200
36,2,6,15000,6100
32,1,10,102000,8500
54,1,6,67000,600
61,1,6,7000,4100
47,1,6,190000,6000
37,2,6,48000,2300
62,2,7,52000,22800
39,2,6,50000,17500
37,1,3,25000,25100
60,2,8,26100,5500
66,1,7,630000,1900
74,2,10,87700,12300
52,2,11,40000,9600
94,2,11,41900,6800
58,1,10,78000,3000
65,1,10,140000,13700
69,1,6,64400,14500
31,1,11,80000,13000
69,2,5,30000,8100
83,2,6,11800,6200
25,2,6,30000,25900
78,1,6,69510,11300
39,1,10,90000,1900
81,1,2,10200,25200
69,2,11,29000,5900
57,2,7,910,5200
47,2,11,95000,13000
68,2,11,21000,7300
36,2,6,55000,12500
66,1,6,55000,3000
76,1,6,14400,5500
33,1,6,42000,6100
33,1,10,85000,6900
54,1,6,225000,3200
59,2,8,28000,1800
43,2,11,90000,11900
40,1,11,23000,4400
30,1,10,42000,7600
38,2,6,7200,17100
64,2,6,8400,4200
68,1,7,40920,6200
31,1,6,55000,10800
38,1,11,150000,7200
83,1,6,86600,5700
39,2,8,52000,12600
64,1,11,68000,10000
71,1,6,19400,6100
69,2,6,50400,5200
47,2,11,127200,2900
69,2,4,13000,1700
45,2,11,30000,3000
65,2,4,9200,5500
36,1,7,134000,5800
44,2,7,11100,8500
61,2,6,72000,6900
56,1,6,39000,13700
79,1,6,84000,3200
37,2,6,25100,16500
74,1,10,19000,8200
79,1,11,120100,26300
60,2,3,20000,17800
45,2,6,30000,11400
41,1,2,59600,1000
35,2,8,50000,45600
66,1,6,50900,5600
74,1,10,24400,2400
30,2,10,25000,7500
63,1,10,95000,7600
48,1,6,47100,12800
50,2,11,90000,4700
30,1,11,71000,11900
51,2,11,110000,10800
46,2,6,77000,19400
83,2,6,2600,1100
62,1,7,32800,3900
46,2,6,40000,3400
59,2,8,112000,2600
64,2,6,11600,5400
32,2,10,10000,7100
68,1,8,95000,6300
47,1,11,150000,24400
69,2,2,50000,11000
56,1,7,59100,7600
36,2,11,147000,17100
66,2,6,19200,10100
30,2,6,55400,8500
50,2,6,25000,3800
87,2,6,22800,6300
60,1,6,100000,19400
82,1,10,23500,2300
28,2,8,35000,73200
86,2,8,208560,25100
95,1,4,22200,7100
30,1,2,60000,16200
67,2,11,77400,9500
49,1,6,900,4200
26,2,11,88100,4800
91,1,11,84800,10900
40,1,6,20000,5300
42,2,4,47000,5700
65,1,6,81100,2800
32,2,6,25600,4300
34,1,10,160000,10400
52,1,8,48500,7600
59,1,6,110000,6100
28,1,10,110000,3400
78,1,11,123000,8000
42,2,11,160000,3600
33,2,7,46000,24700
78,1,7,49700,5500
69,2,11,50700,1100
32,2,11,80000,7200
44,2,8,45050,7600
63,1,6,44000,2100
90,2,6,20200,3100
77,2,10,18800,6200
38,1,6,9000,3800
40,2,8,25000,10900
48,1,10,60000,6400
79,2,2,390,3800
32,1,10,150000,9700
53,1,6,65000,9300
62,1,11,6700,10400
73,1,7,38000,5200
56,1,10,11200,11300
31,1,10,60000,14200
74,1,1,27300,2600
32,1,11,100800,4900
27,1,6,20100,21900
65,1,6,18900,2900
76,2,7,62000,6100
64,2,8,9600,1700
82,1,10,54100,5900
71,2,7,14000,7500
82,2,6,43000,5700
34,2,6,41600,2000
61,2,10,1000,4400
58,2,11,65000,3100
75,1,8,50600,7900
56,1,6,35000,11500
27,2,8,40000,7500
91,2,4,26200,10500
33,2,6,36000,6100
67,2,6,24700,1900
41,2,11,73000,9900
46,1,6,9000,8000
45,2,11,95000,16500
69,2,6,17300,5000
85,2,6,2300,2400
58,2,11,11000,8600
26,2,11,63000,6800
46,2,11,230000,3000
31,1,6,30000,10900
50,2,10,200000,23400
28,1,7,45600,5700
58,1,11,198000,11200
89,1,11,68100,9700
52,1,7,10000,6600
38,1,10,125000,8900
67,1,10,47400,13600
48,2,10,51000,2800
61,2,4,31500,4900
77,1,11,78000,7600
48,2,8,22000,13400
65,2,7,15100,6300
42,1,6,80000,8100
36,2,6,65000,15200
49,1,6,17200,1600
69,1,10,58600,9200
28,1,6,28000,8700
61,2,6,110000,10500
64,1,6,72000,18600
63,2,8,13300,6600
92,2,6,24000,3400
76,2,8,12000,7000
59,2,11,40000,9600
54,2,6,47100,9100
59,1,7,570000,5700
57,2,7,44200,5300
56,1,6,12800,5300
55,2,11,80000,5800
68,2,6,4700,3200
43,2,8,45000,5300
31,1,8,56000,9700
41,1,10,82000,11300
73,1,6,39200,2700
64,1,6,14000,18300
53,2,11,85000,11600
85,2,6,15300,4600
58,2,6,7900,6500
50,2,6,5000,25100
30,2,6,50,12800
74,1,0,4000,9300
47,2,10,49800,11800
51,1,11,105050,4700
38,2,7,89000,10300
46,1,7,95000,7300
59,2,10,120000,3300
73,1,7,117500,6800
89,2,6,42300,3600
65,2,5,27600,5500
80,2,1,5800,5900
32,2,7,30000,5200
38,2,8,50000,7300
30,1,10,23800,6400
52,1,6,61160,1400
48,2,6,78000,6600
71,1,11,93300,5400
61,1,11,6000,4700
36,1,10,98000,7300
75,2,7,67300,2100
70,2,6,124000,3500
51,1,11,151500,11000
33,2,6,12800,12800
47,2,11,250000,36000
43,1,10,78000,10400
38,1,6,20,2600
62,2,6,18000,3100
48,1,6,39000,2500
43,2,10,48000,4800
50,2,6,40000,5300
67,1,11,155000,10100
25,1,6,10900,41500
86,1,2,24600,12900
37,2,6,47300,20200
67,1,11,86000,6100
72,2,10,26500,9400
39,2,7,5000,600
50,1,7,35000,100
49,2,10,37400,1300
62,2,8,88000,11000
37,2,11,290000,12500
54,2,8,108000,8300
66,1,6,88700,5900
48,1,10,190000,36800
80,1,11,14000,26800
66,1,6,126000,11400
73,2,10,17800,9900
40,1,6,43000,6800
81,2,10,30000,6600
31,1,10,31600,4500
74,2,8,23900,600
70,2,7,65700,7400
37,2,10,320000,7200
65,1,6,19600,2600
47,1,3,65000,6400
60,2,8,109700,6800
34,1,6,15000,10400
32,2,8,37000,5500
44,1,10,120000,52300
34,2,10,100000,2600
58,2,8,36000,32500
35,2,10,80000,9700
33,2,10,90000,44800
42,2,7,59450,2400
74,2,1,19000,25700
29,1,10,60000,6100
42,1,8,35000,1900
33,2,11,60000,6200
52,2,8,7800,9900
63,1,6,145000,5200
33,2,11,160000,6000
33,1,6,20000,21600
50,2,11,148000,9700
59,1,8,66000,7200
87,2,6,17100,7100
37,1,7,62000,8300
81,2,10,20000,6100
34,1,6,90000,4000
51,2,6,40400,8300
68,2,11,36300,5900
88,1,6,37100,7500
74,2,7,14400,15700
36,1,11,103500,4200
33,1,11,224000,6200
62,2,6,570000,9300
75,1,7,32250,1700
71,1,10,614000,3600
70,1,10,30000,5600
64,2,7,85000,7100
75,1,8,57900,1400
46,1,10,380000,4900
87,2,6,28000,9500
36,1,11,30000,12500
67,2,10,35900,17400
34,1,11,59000,13400
63,1,10,180000,8400
28,1,8,30000,12900
56,1,7,9600,9900
48,1,10,47000,10500
61,2,6,7900,5900
75,2,7,70300,28700
38,2,8,51700,24000
34,1,8,53000,11200
67,1,6,38000,8600
55,2,10,127600,13800
77,1,11,116000,8400
39,1,10,80000,9700
32,2,10,50000,12000
67,2,6,16000,5000
73,2,6,116000,900
52,1,10,972000,5700
76,1,10,236300,10500
28,2,10,20200,6600
64,1,6,60000,12300
59,2,10,158000,6700
68,1,10,46500,3700
60,1,11,21300,5400
39,1,6,100000,5300
55,2,10,145000,9900
41,2,10,37000,6300
63,2,6,4000,3800
72,2,6,19000,5300
43,2,7,14000,5200
38,1,10,165100,5400
30,2,10,115000,6200
36,1,10,158000,7200
45,2,0,1300,1000
66,2,7,72000,5500
56,1,10,70000,18400
52,2,10,61000,900
59,1,8,160000,6900
32,1,11,100000,5600
53,2,6,6000,9900
57,2,6,25000,4900
70,2,8,44400,4400
30,2,10,72000,11100
77,2,10,30700,4700
59,2,11,157000,5000
63,1,6,2900,18000
48,2,0,29000,6500
47,1,10,275000,28500
31,1,2,15000,800
65,1,6,23100,4400
31,1,10,70000,4700
61,2,10,60000,9400
46,2,8,49000,6000
42,1,6,75000,9000
89,2,1,24000,7400
76,1,11,163500,6300
74,2,11,45600,4900
36,1,0,25000,50000
80,2,6,1600,4800
56,2,6,150000,7500
78,2,6,10800,4700
47,2,11,18000,5700
71,1,7,25350,9800
73,2,6,18000,11800
81,2,0,27000,4900
53,1,11,230500,10200
72,1,6,50900,4100
65,2,6,36000,2000
75,1,8,39300,6300
72,1,11,8300,2100
71,2,6,20300,20800
29,1,8,45000,2000
54,2,11,370000,3600
51,2,6,45800,6600
26,2,10,35000,16500
29,2,11,56000,2300
75,1,11,106000,5500
73,2,6,21300,7700
45,2,11,63000,6400
38,1,6,65000,12300
41,2,11,76000,7700
58,2,7,200000,5100
48,1,10,55000,14900
58,2,7,20000,17500
81,1,11,89000,30800
74,2,6,9800,3700
40,1,8,3700,30400
30,1,8,85000,7000
82,2,10,12000,200
47,2,11,300000,5100
65,2,2,33400,13300
64,1,6,40000,8500
75,2,6,9600,7800
42,2,10,4500,7200
32,1,11,65600,9900
73,2,6,80800,24600
58,1,7,26000,4600
38,1,11,140000,28500
70,2,2,23200,18400
74,1,7,67000,1600
57,2,10,39000,4500
29,2,6,17500,31200
35,2,11,85000,34700
40,1,7,140000,6000
29,2,2,5000,29800
71,2,6,56400,10000
61,1,7,70000,9900
51,2,10,193000,5500
53,1,10,601000,10700
72,1,10,445000,9300
33,2,7,28000,11100
41,1,10,102900,6800
75,1,11,52500,2300
29,2,10,12000,10500
29,2,11,95000,34500
47,2,11,31500,14200
68,2,6,21300,12900
43,1,7,70000,28800
30,2,4,5400,19300
41,2,0,20000,4500
83,1,6,119500,3800
63,2,8,38000,11900
67,1,6,28220,1700
78,1,11,96000,1600
51,1,6,10400,2900
64,2,6,9600,10200
38,2,11,65000,7400
58,2,11,9200,4200
44,1,10,85000,14700
59,2,7,70000,2300
34,1,2,12000,13300
78,1,10,27400,5800
69,2,8,22800,7600
32,1,6,120000,18700
66,2,6,8000,1400
39,2,3,19200,1100
71,1,7,23000,7900
48,1,8,50000,14700
63,2,7,14000,7300
32,1,6,46000,13900
82,2,2,7000,3300
54,2,6,50000,9200
31,1,10,638770,2600
73,2,10,36800,3000
35,2,6,65000,2700
85,2,10,35600,10000
64,1,6,32000,5500
85,1,11,134000,700
77,1,8,83900,34800
43,1,6,24000,70000
51,1,11,156000,8300
47,2,11,106000,1700
77,1,2,11000,14600
59,2,6,29500,1500
65,1,6,30000,6400
76,2,10,29100,12000
68,2,10,72000,14700
40,1,7,115000,2700
59,2,11,158000,14600
67,2,6,16800,6200
63,2,11,9090,3000
55,2,8,32600,800
69,1,10,88600,5000
71,2,6,12000,1800
55,1,11,75000,6200
61,2,8,52000,5900
86,1,7,74000,10700
56,1,10,114000,8000
64,1,8,110000,5500
62,2,6,40000,5800
26,2,10,78400,3800
40,2,6,65000,10700
39,2,11,118000,6600
51,2,10,30000,80700
60,1,6,8000,7200
35,2,7,4900,6200
62,2,10,89300,5600
41,2,10,45000,2900
57,2,7,15000,5400
42,2,8,110000,1600
62,1,10,108000,4900
74,2,6,32800,4700
41,1,7,120000,21300
67,2,6,19800,24200
33,2,8,32000,36900
31,1,6,5000,44000
40,2,11,196000,6000
65,2,10,50000,7800
79,1,7,33520,6200
37,1,10,8500,20500
59,2,8,48600,2600
63,2,6,51000,11600
58,2,11,65000,2400
50,2,11,170500,5300
30,2,10,40500,7400
37,2,10,15000,21100
77,2,10,36700,8300
63,1,6,51000,9600
92,2,6,10000,8800
45,2,11,115000,8300
59,2,10,15000,6300
73,1,8,67200,7300
78,2,6,45000,26100
39,2,11,85000,5800
68,2,7,18600,6000
25,2,6,300,2100
95,2,10,18800,600
77,1,11,63030,6200
43,2,10,35000,25300
38,2,6,180,7800
63,1,10,35000,18300
51,2,10,60000,16800
52,2,6,30500,13800
28,2,6,10000,14500
53,1,6,194000,6400
35,2,8,41000,27900
32,2,10,11000,6300
52,2,11,68000,4300
59,2,6,11330,20000
40,2,10,23600,2900
52,1,8,75000,10700
54,2,10,54800,4600
85,2,6,16800,35300
47,1,8,40000,42200
80,1,4,7200,18700
59,2,10,23200,10800
78,2,10,10000,18200
67,2,7,73000,4600
71,1,11,60000,5900
38,2,10,15000,32600
55,1,6,41000,16100
68,2,10,19400,7600
33,1,6,40000,7500
54,1,10,45000,20000
48,2,6,20700,11000
76,2,10,33000,8200
60,1,10,100000,5400
53,1,10,190000,3200
53,2,6,22800,1500
31,1,6,38400,1000
46,1,7,24000,7800
62,2,11,107000,5600
74,1,11,22100,16100
39,1,11,270000,7900
43,1,6,45000,1500
49,2,10,30600,8800
26,1,6,28000,2900
45,2,10,68050,2500
70,2,7,11000,5100
46,2,11,120300,6300
47,2,8,43000,3100
51,1,8,95000,800
50,1,6,22300,2400
71,2,11,38000,8500
45,1,6,113000,12400
35,1,8,15000,8300
54,2,5,227300,2000
85,2,6,23100,9200
62,2,11,33000,4700
34,2,6,14000,5300
29,2,11,200100,9500
43,2,10,65000,4100
59,1,6,92000,5400
84,2,6,24500,4400
59,2,7,150000,3600
92,1,10,427200,6300
32,2,10,220000,13400
63,1,6,60000,11600
49,2,7,22000,26000
28,1,3,35000,13300
49,2,10,50000,7300
41,2,10,70000,13500
52,1,6,52000,9300
41,2,8,30000,10200
34,1,10,80000,50600
28,2,10,135000,4900
74,1,10,44800,5600
60,1,6,1400,28400
59,1,10,62000,7700
34,1,6,45000,4200
44,1,6,77000,10700
65,2,6,1000,6100
61,1,10,130000,11700
52,2,6,20800,3900
45,2,11,88000,7500
80,2,6,30700,1900
86,2,2,43800,5100
81,1,10,89100,5600
65,1,10,150000,12600
54,2,10,300000,4900
71,1,6,38000,2300
82,2,7,45400,39100
59,1,6,34000,1400
79,2,10,23100,2200
81,2,7,12500,9700
65,1,6,85000,6800
55,2,6,15000,15600
25,2,7,44000,5900
68,2,6,54200,3400
48,1,10,165000,6000
66,2,6,1800,1600
50,1,10,180000,26600
72,1,10,98200,10700
40,2,7,24000,22800
32,1,6,60000,2600
49,2,10,82000,10800
25,1,10,77000,16000
70,1,6,61400,2400
45,1,10,80000,22900
67,2,6,47700,3600
74,2,10,106700,27000
73,1,11,234800,7600
41,2,11,125000,18100
62,1,8,24000,6400
26,2,6,35700,7400
25,2,6,54300,8500
51,2,10,45000,5800
77,2,6,40500,1400
69,2,7,9000,6400
44,2,6,55000,6700
40,1,6,30100,6600
30,2,6,50000,8100
61,1,6,94000,6000
26,2,10,36000,32700
67,2,11,36000,3900
60,2,10,13900,7900
37,2,10,140000,49000
46,1,11,107000,6900
30,2,6,40000,9000
69,1,10,32500,9200
64,1,7,51000,13400
74,2,10,26880,8600
65,2,6,11300,9300
60,1,7,5360,11700
58,1,6,20000,59900
74,1,6,61000,7500
75,2,11,35300,7800
30,2,11,75000,4900
57,2,6,30000,11500
62,2,8,76000,19800
68,1,6,18900,6100
28,1,7,55000,4000
82,2,10,66000,5300
45,2,4,2500,9400
61,2,7,79000,9400
25,2,6,16000,7100
71,2,10,43050,2300
62,1,7,71700,7800
53,2,11,133900,7100
69,1,10,95600,5700
66,1,7,63600,20200
38,2,11,81000,6100
38,2,11,162000,9100
62,2,11,34000,5700
86,2,6,23600,8600
39,1,6,8500,22700
58,2,6,25000,4100
54,1,11,300000,8200
94,1,6,50700,7300
37,2,6,5400,11000
77,1,10,117800,5500
70,1,6,55950,3400
63,1,10,187000,9700
43,2,11,85000,16100
43,1,7,56000,12700
64,1,6,98000,6700
75,2,6,68900,7300
60,1,6,17700,2500
46,2,10,62000,2900
74,2,6,9000,4800
89,1,7,46800,7100
26,1,10,6000,9700
34,1,6,38900,21700
55,2,11,70000,5400
32,1,10,190000,6900
81,2,10,112000,8600
51,1,6,39000,8000
73,2,6,125200,4200
70,1,8,35400,8900
59,2,10,75000,20600
77,2,11,71400,4300
69,1,6,67000,600
68,1,7,77600,8400
71,1,6,49600,2100
65,2,11,46000,26700
58,1,10,53000,7800
74,1,10,40000,5500
52,2,11,99000,7200
62,2,7,6000,7100
29,2,8,45000,700
60,1,8,80000,9400
66,1,7,39000,7000
32,1,5,11200,6900
48,1,11,32000,4500
32,2,6,55000,27000
42,1,10,148000,6800
72,2,10,112400,5800
41,2,11,240000,6800
44,1,6,5000,12100
27,2,8,2000,5400
73,1,6,78000,5000
30,1,11,250000,7000
71,2,7,1500,3300
75,1,7,11400,7800
53,1,8,135000,16200
43,1,6,55000,1400
57,1,10,20000,6600
28,1,11,49000,6800
25,1,11,35000,19700
78,1,11,243500,10300
29,1,7,75000,5100
48,1,6,40200,7500
85,2,10,27000,14100
59,2,6,42600,22900
33,1,10,200000,5900
39,2,7,47000,23700
59,1,6,69800,3300
70,2,6,34000,5400
54,2,8,77000,6600
59,2,1,20400,19900
71,2,10,41000,11200
43,1,10,240000,11100
35,2,6,44600,10600
53,1,6,42100,20900
42,2,0,120000,5700
65,1,0,16600,2600
81,2,6,12600,10100
54,1,6,97000,800
73,2,7,27300,8900
54,2,11,135000,5600
32,1,6,9700,27900
89,1,11,3000,6300
40,1,10,138000,11400
56,1,10,7000,5500
81,2,8,13700,29700
30,1,10,78000,12300
93,2,10,18900,9800
71,1,8,69600,5200
62,1,10,25100,11700
57,2,11,23000,21800
63,2,6,15000,6300
25,1,6,75000,9600
78,1,11,135200,20800
56,2,10,20200,5500
94,2,4,27200,2800
46,1,6,91000,9500
54,1,6,37200,2100
56,1,10,36000,7900
27,1,10,65150,5200
27,2,6,70000,25600
70,2,3,6360,3300
77,2,11,92600,3100
56,2,0,18100,33300
65,1,10,62810,9000
27,2,6,65000,5700
73,1,11,47980,12000
27,1,8,42000,5100
94,1,10,44200,7600
53,1,6,110000,12100
34,1,6,40000,10900
68,1,11,42900,11500
68,2,0,9000,12300
83,2,6,1700,10200
49,1,10,488000,4400
67,1,6,22500,3100
26,2,6,10000,8200
75,2,11,7000,4700
65,2,7,57200,9200
31,2,8,35000,3400
79,2,6,13000,10500
53,1,11,91500,11000
40,2,11,77700,11600
55,1,11,265500,14600
64,1,6,225000,6800
72,2,6,48000,20800
68,2,7,55100,4200
34,1,6,900,7400
67,1,8,54000,5000
68,1,7,70000,5300
35,2,8,24000,10900
74,1,7,60800,11000
76,1,6,138000,55400
85,2,7,62100,5000
58,2,6,36000,5800
63,2,6,76000,6500
26,1,7,30000,22200
81,2,1,7200,4400
41,2,7,102000,6800
35,2,7,4000,1600
67,2,6,24000,8400
76,2,7,12200,4300
30,1,10,56200,15200
34,2,6,3200,30000
48,1,6,50000,5300
25,2,10,90000,35600
48,2,6,38020,6100
65,1,6,135000,45700
76,2,4,16500,12400
57,1,11,140000,6000
56,2,11,90000,4400
66,2,11,51000,1300
46,2,11,146000,29400
74,2,10,9000,5200
65,1,6,16800,8700
62,1,6,90000,900
75,1,6,25000,16100
72,2,7,7300,1700
29,1,10,130000,4900
80,1,3,17400,1600
89,2,6,19600,700
73,2,6,23600,2600
72,2,7,17600,17100
75,1,11,70800,7300
49,1,6,50000,8900
26,2,8,60000,4400
25,1,10,40000,27800
78,2,4,35000,7000
58,2,2,15600,8400
53,2,8,48000,4800
33,2,6,40000,7000
49,2,10,35000,6700
54,2,6,34000,1400
54,1,7,77000,5500
53,1,6,76000,15100
50,1,8,230000,8100
32,2,8,22000,7700
63,1,6,68000,6200
31,1,8,13500,9100
39,2,6,40000,6700
25,1,8,60300,2100
65,2,8,75000,16400
53,1,6,60000,30500
30,1,10,42000,8400
81,1,11,29000,7600
65,2,6,13200,2200
78,1,6,29400,12900
89,1,6,21400,3700
58,1,5,147000,11700
43,1,11,180000,17900
25,2,6,6860,9000
80,1,6,61900,2100
47,1,10,85000,20100
33,1,8,80000,14500
62,1,11,200800,6800
75,2,6,1600,17200
68,2,6,2000,6200
46,1,10,56000,1900
73,1,11,13980,2400
48,1,6,35000,17700
37,2,11,40000,3300
67,1,11,145000,8000
87,2,3,2200,10700
87,2,2,13200,1900
74,2,2,8100,8300
26,1,6,69000,1900
39,1,11,80000,12100
33,1,6,42000,4600
53,2,8,64000,5000
94,2,6,13200,3000
62,2,8,10800,9800
40,1,6,24000,6600
31,1,6,30000,5200
83,2,6,10000,5300
51,1,10,82000,10000
40,2,0,13000,3300
51,2,10,14000,5100
30,2,6,28000,10500
78,2,10,27000,5100
52,2,10,40000,23500
47,1,4,55000,6800
56,2,11,145100,11800
72,2,8,67200,7500
63,2,8,85700,2200
65,2,8,20000,4100
81,2,6,34520,8300
43,1,10,123500,5200
54,2,10,55000,7700
60,2,8,90000,4000
72,1,10,32400,1700
59,1,10,125000,5400
73,2,6,6000,8400
64,2,7,9100,3100
63,2,10,30000,1500
32,2,10,70080,7300
40,2,6,31000,4000
49,2,8,9000,4600
67,1,7,56000,12200
29,2,6,60000,5400
55,1,10,70500,3300
52,1,6,70000,22100
51,1,10,73000,4700
74,2,7,31000,7900
55,1,8,29600,7600
27,1,10,30000,13900
33,1,8,31600,900
64,1,8,66000,2800
54,2,7,13000,10200
54,1,10,63000,8200
37,2,6,110100,7700
38,2,6,37000,9400
70,2,7,10000,1800
46,2,6,36300,33900
37,2,6,18100,5300
38,2,11,62000,11900
56,1,6,76300,5700
62,1,11,100000,15400
85,2,11,29500,8200
64,2,8,85000,61100
63,1,6,40000,5500
57,1,10,180000,6400
83,2,6,44000,8700
76,1,6,54500,1400
59,2,6,33000,34900
78,2,6,31200,5900
71,2,7,15000,13100
35,2,11,86000,5900
47,2,10,126000,8100
58,2,5,38500,45800
87,2,6,27100,1500
61,1,6,65000,5800
62,1,6,47800,8500
33,2,8,45000,11200
66,1,10,4800,13200
40,2,6,13200,27000
69,2,10,42500,5800
69,1,6,72900,2800
63,2,8,48400,4200
42,1,6,95000,23100
62,2,7,47400,5600
47,1,6,156000,23900
53,1,6,85000,7700
